,time,HEADWATER,TAILWATER,GAGE-1
0,3652.5,-1271.609372795216,-934.7448857904112,2675.694849283565
1,3683.5,-1188.261301060306,-903.5831054311386,2561.700004102368
2,3712.5,-1278.176409412536,-975.0629350200866,2720.18098757921
3,3743.5,-1442.00405101648,-1100.483634066123,3005.022456135306
4,3773.5,-1576.905330781935,-1201.101467785106,3237.266916388126
5,3804.5,-1618.962622866571,-1225.229638961571,3303.035358949642
6,3834.5,-1620.040993259074,-1226.687019744924,3305.493504804515
7,3865.5,-1311.92174636122,-962.5430474914472,2742.977924243486
8,3896.5,-1013.654634612937,-720.463899861132,2210.746269294701
9,3926.5,-714.1293711637154,-482.6272545244627,1680.983984991587
10,3957.5,-470.5878334160944,-294.0310782637195,1254.463688711844
11,3987.5,-348.1772495000142,-192.8673089486672,1033.234260709662
12,4018.5,-369.4084006624142,-198.4542179595721,1058.892682238475
13,4049.5,-516.742019546565,-299.7491390261739,1303.458771323685
14,4077.5,-734.9309322439204,-459.6813306138197,1675.87729777968
15,4108.5,-994.1384673552192,-650.1545441978091,2119.227982979855
16,4138.5,-1192.723088892545,-793.8198301973467,2456.976814422702
17,4169.5,-1280.349228060926,-848.2665176859792,2597.767692952147
18,4199.5,-1281.987953787164,-851.2514500011329,2602.213290050926
19,4230.5,-1028.957401651629,-624.2866274021387,2130.82216745681
20,4261.5,-749.9712588370046,-396.7025613162347,1631.889705349009
21,4291.5,-466.077096395975,-171.1338111660945,1129.592632892533
22,4322.5,-236.3273319324178,6.301163147366395,727.5886168978554
23,4352.5,-129.8288067389235,86.91872918466272,542.4408460812591
24,4383.5,-127.1925056531007,92.91136813209992,534.1926372366634
