time,R01_H,R02_H,R03_H,R04_H,R01_F,R02_F,R03_F,R04_F
0.000000000000,1078.416847,1061.581000,1026.282912,993.3116527,-16.43184696,-3.585604451,-3.701876169,-153.6770181
1355673.543892,1078.416847,1061.581000,1026.256840,993.3093722,-16.43183326,-3.577122411,-3.310185877,-153.2721515
2846914.442173,1078.416844,1061.581000,1026.203472,993.3047191,-16.43174015,-3.546520716,-2.568897469,-152.4466251
4487279.430282,1078.416832,1061.581000,1026.131185,993.2986640,-16.43138444,-3.478556317,-1.701801716,-151.3740057
6291680.917202,1078.416797,1061.581000,1026.030261,993.2915112,-16.43038216,-3.359229184,-0.7845694758,-150.1099715
8276522.552814,1078.416717,1061.581000,1025.986956,993.2866586,-16.42806576,-3.177539733,-0.5098816509,-149.2529293
10459848.35199,1078.416557,1061.581000,1025.986459,993.2825174,-16.42342536,-2.926119547,-0.5044754797,-148.5226723
12861506.73108,1078.416270,1061.581000,1025.985901,993.2777002,-16.41509025,-2.600847776,-0.4984362887,-147.6757418
15503330.94808,1078.415795,1061.581000,1025.985288,993.2722358,-16.40131116,-2.212812870,-0.4918270482,-146.7175094
18409337.58678,1078.415061,1061.581000,1025.984612,993.2660969,-16.38002705,-1.797955705,-0.4845911562,-145.6439006
21605944.88935,1078.413989,1061.581000,1025.983874,993.2593302,-16.34899204,-1.305696647,-0.4767275168,-144.4638639
25122212.92217,1078.412500,1061.581000,1025.983078,993.2520163,-16.30586867,-0.8709706772,-0.4683093626,-143.1923256
28990107.75828,1078.410510,1061.581000,1025.982230,993.2442323,-16.24831923,-0.3944121041,-0.4594154025,-141.8435046
33244792.07800,1078.407939,1060.545000,1025.981335,993.2360444,-16.17411831,0.000000000,-0.4500887815,-140.4296631
37924944.82969,1078.404716,1060.545000,1025.980395,993.2275229,-16.08123750,0.000000000,-0.4403851639,-138.9636299
43073112.85655,1078.400770,1060.545000,1025.979399,993.2186612,-15.96782441,0.000000000,-0.4301964631,-137.4450239
48736097.68610,1078.396040,1060.545000,1025.978342,993.2093772,-15.83223923,0.000000000,-0.4194881949,-135.8606749
54965380.99860,1078.390467,1060.545000,1025.977235,993.1997553,-15.67308886,0.000000000,-0.4083855960,-134.2258028
61817592.64235,1078.384001,1060.545000,1025.976091,993.1899081,-15.48920122,0.000000000,-0.3970299398,-132.5602130
69355025.45048,1078.376598,1060.545000,1025.974917,993.1799057,-15.27963083,0.000000000,-0.3855242186,-130.8762700
77646201.53942,1078.368500,1060.545000,1025.973721,993.1697716,-15.05164830,0.000000000,-0.3739307505,-129.1784043
86766495.23725,1078.367428,1060.545000,1025.972483,993.1593813,-15.02156896,0.000000000,-0.3620915525,-127.4465161
96798818.30487,1078.365902,1060.545000,1025.971208,993.1488054,-14.97878811,0.000000000,-0.3500520159,-125.6930147
107834373.6793,1078.363804,1060.545000,1025.969902,993.1380914,-14.92005724,0.000000000,-0.3378906081,-123.9263237
119973484.5911,1078.361066,1060.545000,1025.968568,993.1272711,-14.84351778,0.000000000,-0.3256476559,-122.1521397
133326506.5941,1078.357659,1060.545000,1025.967207,993.1163551,-14.74846827,0.000000000,-0.3133364386,-120.3726212
148014830.7974,1078.353583,1060.545000,1025.965816,993.1053407,-14.63508236,0.000000000,-0.3009552600,-118.5877271
164171987.4210,1078.348862,1060.545000,1025.964373,993.0940922,-14.50417845,0.000000000,-0.2883270303,-116.7761635
181944859.7070,1078.343537,1060.545000,1025.962877,993.0825997,-14.35704117,0.000000000,-0.2754565379,-114.9371072
201495019.2216,1078.337660,1060.545000,1025.961251,993.0707205,-14.19529381,0.000000000,-0.2617413963,-113.0488200
223000194.6876,1078.331292,1060.545000,1025.959507,993.0584786,-14.02080828,0.000000000,-0.2473468912,-111.1162397
246655887.7003,1078.324500,1060.545000,1025.957682,993.0459582,-13.83563373,0.000000000,-0.2326328268,-109.1536906
272677150.0142,1078.322378,1060.545000,1025.955784,993.0332013,-13.77795352,0.000000000,-0.2177125906,-107.1686303
301300538.5595,1078.322378,1060.545000,1025.953815,993.0202468,-13.77795352,0.000000000,-0.2026580254,-105.1679154
332786265.9593,1078.322378,1060.545000,1025.951778,993.0071420,-13.77795352,0.000000000,-0.1875391510,-103.1594313
367420566.0992,1078.322378,1060.545000,1025.949675,992.9939185,-13.77795352,0.000000000,-0.1724219958,-101.1485949
405518296.2530,1078.322378,1060.545000,1025.947506,992.9806472,-13.77795352,0.000000000,-0.1573744537,-99.14655954
447425799.4222,1078.322378,1060.545000,1025.945274,992.9673844,-13.77795352,0.000000000,-0.1424656966,-97.16191973
493524052.9083,1078.322378,1060.545000,1025.942979,992.9541862,-13.77795352,0.000000000,-0.1277626391,-95.20294405
544232131.7430,1078.322378,1060.545000,1025.940623,992.9411192,-13.77795352,0.000000000,-0.1133432942,-93.27920894
600011018.4612,1078.322378,1060.545000,1025.938209,992.9282586,-13.77795352,0.000000000,-0.9929143114E-01,-91.40123817
661367793.8512,1078.322378,1060.545000,1025.935739,992.9156871,-13.77795352,0.000000000,-0.8569511327E-01,-89.58025428
728860246.7802,1078.322378,1060.545000,1025.933215,992.9034930,-13.77795352,0.000000000,-0.7264554949E-01,-87.82795448
803101945.0021,1078.322378,1060.545000,1025.930641,992.8917684,-13.77795352,0.000000000,-0.6023494997E-01,-86.15618677
884767813.0462,1078.322378,1060.545000,1025.928015,992.8806065,-13.77795352,0.000000000,-0.4855431122E-01,-84.57658629
974600267.8948,1078.322378,1060.545000,1025.925335,992.8700980,-13.77795352,0.000000000,-0.3769064331E-01,-83.10012149
1073415968.228,1078.322378,1060.545000,1025.922584,992.8603236,-13.77795352,0.000000000,-0.2771945404E-01,-81.73614385
1182113238.595,1078.322378,1060.545000,1025.919730,992.8513546,-13.77795352,0.000000000,-0.1870929616E-01,-80.49247546
1301680235.998,1078.322378,1060.545000,1025.916685,992.8432490,-13.77795352,0.000000000,-0.1072712179E-01,-79.37509355
1433203933.142,1078.322378,1060.545000,1025.913164,992.8360443,-13.77795352,0.000000000,-0.3862503465E-02,-78.38720563
1577880000.000,1078.322378,1060.545000,1025.909000,992.8297526,-13.77795352,0.000000000,0.000000000,-77.52858805
1579235673.544,1078.322378,1060.545000,1025.909000,992.8299292,-13.77795352,0.000000000,0.000000000,-77.55239302
1580726914.442,1078.322378,1060.545000,1025.909000,992.8306375,-13.77795352,0.000000000,0.000000000,-77.64814025
1582367279.430,1078.322378,1060.545000,1025.909000,992.8321491,-13.77795352,0.000000000,0.000000000,-77.85287329
1584171680.917,1078.322378,1060.545000,1025.909000,992.8346629,-13.77795352,0.000000000,0.000000000,-78.19413295
1586156522.553,1078.322378,1060.545000,1025.911210,992.8382997,-13.77795352,0.000000000,-0.1344010946E-02,-78.68926182
1588339848.352,1078.322378,1060.545000,1025.913154,992.8431023,-13.77795352,0.000000000,-0.3848105108E-02,-79.34543365
1590741506.731,1078.322378,1060.545000,1025.915197,992.8490605,-13.77795352,0.000000000,-0.7493730705E-02,-80.16293401
1593383330.948,1078.322378,1060.545000,1025.917370,992.8561262,-13.77795352,0.000000000,-0.1236668536E-01,-81.13717005
1596289337.587,1078.322378,1060.545000,1025.919660,992.8642265,-13.77795352,0.000000000,-0.1850720390E-01,-82.26024845
1599485944.889,1078.322378,1060.545000,1025.922045,992.8732728,-13.77795352,0.000000000,-0.2590880415E-01,-83.52219509
1603002212.922,1078.322378,1060.545000,1025.924497,992.8831677,-13.77795352,0.000000000,-0.3452464280E-01,-84.91172866
1606870107.758,1078.322378,1060.545000,1025.926991,992.8938072,-13.77795352,0.000000000,-0.4427481396E-01,-86.41645238
1611124792.078,1078.322378,1060.545000,1025.929505,992.9050912,-13.77795352,0.000000000,-0.5505840064E-01,-88.02429565
1615804944.830,1078.322378,1060.545000,1025.932018,992.9169205,-13.77795352,0.000000000,-0.6675916074E-01,-89.72299113
1620953112.857,1078.322378,1060.545000,1025.934514,992.9292004,-13.77795352,0.000000000,-0.7925542312E-01,-91.50059406
1626616097.686,1078.322378,1060.545000,1025.936980,992.9418448,-13.77795352,0.000000000,-0.9242910864E-01,-93.34602733
1632845380.999,1078.322378,1060.545000,1025.939407,992.9547790,-13.77795352,0.000000000,-0.1061720454,-95.24947707
1639697592.642,1078.322378,1060.545000,1025.941788,992.9679401,-13.77795352,0.000000000,-0.1203897644,-97.20260576
1647235025.450,1078.322378,1060.545000,1025.944121,992.9812772,-13.77795352,0.000000000,-0.1350017526,-99.19849309
1655526201.539,1078.322378,1060.545000,1025.946404,992.9947497,-13.77795352,0.000000000,-0.1499425094,-101.2315444
1664646495.237,1078.322378,1060.545000,1025.948638,993.0083264,-13.77795352,0.000000000,-0.1651624423,-103.2974057
1674678818.305,1078.322378,1060.545000,1025.950825,993.0219836,-13.77795352,0.000000000,-0.1806243542,-105.3926743
1685714373.679,1078.322378,1060.545000,1025.952967,993.0357039,-13.77795352,0.000000000,-0.1963027602,-107.5148088
1697853484.591,1078.322378,1060.545000,1025.955068,993.0494583,-13.77795352,0.000000000,-0.2121856099,-109.6593201
1711206506.594,1078.322378,1060.545000,1025.957133,993.0632600,-13.77795352,0.000000000,-0.2282767367,-111.8282933
1725894830.797,1078.322378,1060.545000,1025.959169,993.0771151,-13.77795352,0.000000000,-0.2445927682,-114.0227707
1742051987.421,1078.322378,1060.545000,1025.961181,993.0910138,-13.77795352,0.000000000,-0.2611597417,-116.2412359
1759824859.707,1078.322378,1060.545000,1025.963115,993.1048802,-13.77795352,0.000000000,-0.2774952266,-118.4715186
1779375019.222,1078.322378,1060.545000,1025.964948,993.1186296,-13.77795352,0.000000000,-0.2933357458,-120.6996444
1800880194.688,1078.322378,1060.545000,1025.966752,993.1323946,-13.77795352,0.000000000,-0.3092658036,-122.9465916
1824535887.700,1078.322378,1060.545000,1025.968546,993.1462417,-13.77795352,0.000000000,-0.3254444316,-125.2232951
1850557150.014,1078.322378,1060.545000,1025.970339,993.1601516,-13.77795352,0.000000000,-0.3419370811,-127.5268493
1879180538.560,1078.322378,1060.545000,1025.972081,993.1738755,-13.77795352,0.000000000,-0.3582764349,-129.8160058
1910666265.959,1078.322378,1060.545000,1025.973765,993.1873616,-13.77795352,0.000000000,-0.3743573736,-132.0813450
1945300566.099,1078.322378,1060.545000,1025.975429,993.2008193,-13.77795352,0.000000000,-0.3905273988,-134.3574045
1983398296.253,1078.322378,1060.545000,1025.977062,993.2139504,-13.77795352,0.000000000,-0.4066582737,-136.5933025
2025305799.422,1078.322378,1060.545000,1025.978670,993.2269637,-13.77795352,0.000000000,-0.4227967154,-138.8235887
2071404052.908,1078.322378,1060.545000,1025.980228,993.2397617,-13.77795352,0.000000000,-0.4386695994,-141.0310693
2122112131.743,1078.322378,1060.545000,1025.981652,993.2519756,-13.77795352,0.000000000,-0.4533889760,-143.1509700
2177891018.461,1078.332355,1060.545000,1025.982948,993.2632957,-14.04990187,0.000000000,-0.4669435434,-145.1273154
2239247793.851,1078.354962,1060.545000,1025.984104,993.2734022,-14.67342699,0.000000000,-0.4791684650,-146.9012666
2306740246.780,1078.384249,1061.581000,1025.985490,993.2830384,-15.49621728,-1.271672042,-0.4940008266,-148.5997015
2380981945.002,1078.403742,1061.581000,1026.143390,993.2981803,-16.05322335,-2.696741201,-1.835034602,-151.2775349
2462647813.046,1078.411428,1061.581000,1026.234897,993.3066022,-16.27487789,-3.240129698,-2.994815106,-152.7753691
2552480267.895,1078.414578,1061.581000,1026.264151,993.3096176,-16.36603419,-3.448878267,-3.417851381,-153.3134409
2651295968.228,1078.415899,1061.581000,1026.275333,993.3108151,-16.40433273,-3.531393923,-3.585952024,-153.5273457
2759993238.595,1078.416459,1061.581000,1026.279857,993.3113102,-16.42057218,-3.564385245,-3.654953249,-153.6158173
2879560235.998,1078.416694,1061.581000,1026.281707,993.3115159,-16.42738557,-3.577506466,-3.683341700,-153.6525879
3011083933.142,1078.416789,1061.581000,1026.282453,993.3116000,-16.43016073,-3.582621809,-3.694812422,-153.6676087
3155760000.000,1078.416827,1061.581000,1026.282745,993.3116333,-16.43124265,-3.584552340,-3.699299337,-153.6735495
