,b0,b1,b2,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12
0,0,0,0,0,"(0, 0, 0)",4500.0,12.0,0.0008677,1093.048,3,3e-06,0.03,1,1.0,0,allreaches
1,0,1,1,1,"(0, 1, 1)",7000.0,12.0,0.0008677,1088.059,3,3e-06,0.03,2,1.0,0,allreaches
2,0,2,2,2,"(0, 2, 2)",6000.0,12.0,0.0008677,1082.419,3,3e-06,0.03,2,1.0,0,allreaches
3,0,2,3,3,"(0, 2, 3)",5550.0,12.0,0.0008677,1077.408,3,3e-06,0.03,3,1.0,1,allreaches
4,0,3,4,4,"(0, 3, 4)",6500.0,12.0,0.0009434,1071.934,3,3e-06,0.03,2,1.0,0,allreaches
5,0,4,5,5,"(0, 4, 5)",5000.0,12.0,0.0009434,1066.509,3,3e-06,0.03,2,1.0,0,allreaches
6,0,5,5,6,"(0, 5, 5)",5000.0,12.0,0.0009434,1061.792,3,3e-06,0.03,2,1.0,0,allreaches
7,0,6,5,7,"(0, 6, 5)",5000.0,12.0,0.0009434,1057.075,3,3e-06,0.03,2,1.0,0,allreaches
8,0,7,5,8,"(0, 7, 5)",5000.0,12.0,0.0009434,1052.359,3,3e-06,0.03,2,1.0,0,allreaches
9,0,2,4,9,"(0, 2, 4)",5000.0,9.636364,0.0005455,1073.636,2,3e-07,0.03,2,0.0,0,allreaches
10,0,2,5,10,"(0, 2, 5)",5000.0,8.909091,0.0005455,1070.909,2,3e-07,0.03,2,1.0,0,allreaches
11,0,2,6,11,"(0, 2, 6)",4500.0,8.218182,0.0005455,1068.318,2,3e-07,0.03,2,1.0,0,allreaches
12,0,3,7,12,"(0, 3, 7)",6000.0,7.454545,0.0005455,1065.455,2,3e-07,0.03,2,1.0,0,allreaches
13,0,4,7,13,"(0, 4, 7)",5000.0,6.654546,0.0005455,1062.455,2,3e-07,0.03,2,1.0,0,allreaches
14,0,5,7,14,"(0, 5, 7)",2000.0,6.145454,0.0005455,1060.545,2,3e-07,0.03,2,1.0,0,allreaches
15,0,4,9,15,"(0, 4, 9)",2500.0,10.0,0.0018182,1077.727,3,3e-06,0.03,1,1.0,0,allreaches
16,0,4,8,16,"(0, 4, 8)",5000.0,10.0,0.0018182,1070.909,3,3e-06,0.03,2,1.0,0,allreaches
17,0,5,7,17,"(0, 5, 7)",3500.0,10.0,0.0018182,1063.182,3,3e-06,0.03,2,1.0,0,allreaches
18,0,5,7,18,"(0, 5, 7)",4000.0,10.0,0.0006667,1058.667,3,3e-06,0.03,3,1.0,0,allreaches
19,0,6,6,19,"(0, 6, 6)",5000.0,10.0,0.0006667,1055.667,3,3e-06,0.03,2,1.0,0,allreaches
20,0,7,6,20,"(0, 7, 6)",3500.0,10.0,0.0006667,1052.833,3,3e-06,0.03,2,1.0,0,allreaches
21,0,7,5,21,"(0, 7, 5)",2500.0,10.0,0.0006667,1050.833,3,3e-06,0.03,2,1.0,0,allreaches
22,0,8,5,22,"(0, 8, 5)",5000.0,12.0,0.0018,1045.5,3,3e-06,0.03,2,1.0,0,allreaches
23,0,11,6,23,"(0, 11, 6)",5000.0,12.0,0.0014286,1036.429,3,3e-07,0.03,1,1.0,0,allreaches
24,0,12,6,24,"(0, 12, 6)",5500.0,12.0,0.0014286,1028.929,3,3e-07,0.03,2,1.0,0,allreaches
25,0,13,8,25,"(0, 13, 8)",5000.0,60.0,0.0006667,1033.333,3,6e-06,0.03,1,1.0,0,allreaches
26,0,12,7,26,"(0, 12, 7)",5000.0,60.0,0.0006667,1030.0,3,6e-06,0.03,2,1.0,0,allreaches
27,0,12,6,27,"(0, 12, 6)",5000.0,60.0,0.0006667,1026.667,3,6e-06,0.03,2,1.0,0,allreaches
28,0,12,5,28,"(0, 12, 5)",5000.0,60.0,0.0048,1013.0,3,6e-06,0.03,2,1.0,0,allreaches
29,0,12,1,29,"(0, 12, 1)",5000.0,60.0,0.00125,996.875,3,6e-06,0.03,1,1.0,0,allreaches
30,0,12,0,30,"(0, 12, 0)",3000.0,60.0,0.00125,991.875,3,6e-06,0.03,1,1.0,0,allreaches
