,atotim,aLAK1_STAGE,aLAK2_STAGE,aLAK1_TO-MVR,aLAK1_FROM-MVR,aLAK2_TO-MVR,aLAK2_FROM-MVR
0,2628000.0,1041.251409,1001.410486,-32.62909565,31.22706147,-186.3916295,175.9032992
1,2803200.0,1041.251409,1001.410486,-32.62908494,31.22706147,-186.3916436,175.9040166
2,2978400.0,1041.251408,1001.410486,-32.62906327,31.22706147,-186.3916576,175.9046829
3,3153600.0,1041.251407,1001.410486,-32.62903135,31.22706147,-186.391666,175.9053004
4,3328800.0,1041.251406,1001.410486,-32.62898995,31.22706147,-186.391665,175.9058718
5,3504000.0,1041.251405,1001.410486,-32.62893981,31.22706147,-186.3916516,175.9063995
6,3679200.0,1041.251404,1001.410485,-32.62888161,31.22706147,-186.3916232,175.9068858
7,3854400.0,1041.251402,1001.410485,-32.62881602,31.22706147,-186.391578,175.9073327
8,4029600.0,1041.251401,1001.410485,-32.62874361,31.22706147,-186.3915145,175.9077425
9,4204800.0,1041.251399,1001.410485,-32.62866497,31.22706147,-186.3914315,175.908117
10,4380000.0,1041.251397,1001.410484,-32.62858061,31.22706147,-186.3913282,175.908458
11,4555200.0,1041.251395,1001.410484,-32.62849176,31.22706147,-186.3912423,175.9087694
12,4730400.0,1041.251393,1001.410483,-32.62839938,31.22706147,-186.3911886,175.9090542
13,4905600.0,1041.251391,1001.410483,-32.62830394,31.22706147,-186.3911624,175.9093141
14,5080800.0,1041.251388,1001.410483,-32.62820582,31.22706147,-186.3911578,175.9095504
15,5256000.0,1041.251386,1001.410483,-32.62810533,31.22706147,-186.3911691,175.9097646
16,5431200.0,1041.251383,1001.410483,-32.62797678,31.22706147,-186.3910574,175.9099224
17,5606400.0,1041.251379,1001.410482,-32.62781847,31.22706147,-186.3908095,175.9100213
18,5781600.0,1041.251375,1001.41048,-32.62763199,31.22706147,-186.3904238,175.9100636
19,5956800.0,1041.25137,1001.410478,-32.6274189,31.22706147,-186.3898894,175.910051
20,6132000.0,1041.251365,1001.410474,-32.62718078,31.22706147,-186.3892056,175.9099857
21,6307200.0,1041.251359,1001.410471,-32.62691926,31.22706147,-186.3883773,175.90987
22,6482400.0,1041.251352,1001.410466,-32.62663587,31.22706147,-186.3874119,175.9097062
23,6657600.0,1041.251345,1001.410461,-32.62633212,31.22706147,-186.3863187,175.9094967
24,6832800.0,1041.251338,1001.410456,-32.6260094,31.22706147,-186.3851061,175.9092435
25,7008000.0,1041.25133,1001.41045,-32.625669,31.22706147,-186.3837826,175.908949
26,7183200.0,1041.251322,1001.410443,-32.62531212,31.22706147,-186.3823553,175.908615
27,7358400.0,1041.251313,1001.410436,-32.62493988,31.22706147,-186.380831,175.9082433
28,7533600.0,1041.251304,1001.410429,-32.62455328,31.22706147,-186.3792159,175.9078356
29,7708800.0,1041.251295,1001.410421,-32.62415328,31.22706147,-186.3775157,175.9073935
30,7884000.0,1041.251286,1001.410413,-32.62374076,31.22706147,-186.3757357,175.9069185
31,8059200.0,1041.251276,1001.410405,-32.62331652,31.22706147,-186.3738806,175.906412
32,8234400.0,1041.251266,1001.410396,-32.62288132,31.22706147,-186.3719551,175.9058756
