time,LAK1_STAGE,LAK2_STAGE,LAK1_TO-MVR,LAK1_FROM-MVR,LAK2_TO-MVR,LAK2_FROM-MVR
2628000.000000,1041.251409,1001.410486,-32.62909565,31.22706147,-186.3916295,175.9032992
2803200.000000,1041.251409,1001.410486,-32.62908494,31.22706147,-186.3916436,175.9040166
2978400.000000,1041.251408,1001.410486,-32.62906327,31.22706147,-186.3916576,175.9046829
3153600.000000,1041.251407,1001.410486,-32.62903135,31.22706147,-186.3916660,175.9053004
3328800.000000,1041.251406,1001.410486,-32.62898995,31.22706147,-186.3916650,175.9058718
3504000.000000,1041.251405,1001.410486,-32.62893981,31.22706147,-186.3916516,175.9063995
3679200.000000,1041.251404,1001.410485,-32.62888161,31.22706147,-186.3916232,175.9068858
3854400.000000,1041.251402,1001.410485,-32.62881602,31.22706147,-186.3915780,175.9073327
4029600.000000,1041.251401,1001.410485,-32.62874361,31.22706147,-186.3915145,175.9077425
4204800.000000,1041.251399,1001.410485,-32.62866497,31.22706147,-186.3914315,175.9081170
4380000.000000,1041.251397,1001.410484,-32.62858061,31.22706147,-186.3913282,175.9084580
4555200.000000,1041.251395,1001.410484,-32.62849176,31.22706147,-186.3912423,175.9087694
4730400.000000,1041.251393,1001.410483,-32.62839938,31.22706147,-186.3911886,175.9090542
4905600.000000,1041.251391,1001.410483,-32.62830394,31.22706147,-186.3911624,175.9093141
5080800.000000,1041.251388,1001.410483,-32.62820582,31.22706147,-186.3911578,175.9095504
5256000.000000,1041.251386,1001.410483,-32.62810533,31.22706147,-186.3911691,175.9097646
5431200.000000,1041.251383,1001.410483,-32.62797678,31.22706147,-186.3910574,175.9099224
5606400.000000,1041.251379,1001.410482,-32.62781847,31.22706147,-186.3908095,175.9100213
5781600.000000,1041.251375,1001.410480,-32.62763199,31.22706147,-186.3904238,175.9100636
5956800.000000,1041.251370,1001.410478,-32.62741890,31.22706147,-186.3898894,175.9100510
6132000.000000,1041.251365,1001.410474,-32.62718078,31.22706147,-186.3892056,175.9099857
6307200.000000,1041.251359,1001.410471,-32.62691926,31.22706147,-186.3883773,175.9098700
6482400.000000,1041.251352,1001.410466,-32.62663587,31.22706147,-186.3874119,175.9097062
6657600.000000,1041.251345,1001.410461,-32.62633212,31.22706147,-186.3863187,175.9094967
6832800.000000,1041.251338,1001.410456,-32.62600940,31.22706147,-186.3851061,175.9092435
7008000.000000,1041.251330,1001.410450,-32.62566900,31.22706147,-186.3837826,175.9089490
7183200.000000,1041.251322,1001.410443,-32.62531212,31.22706147,-186.3823553,175.9086150
7358400.000000,1041.251313,1001.410436,-32.62493988,31.22706147,-186.3808310,175.9082433
7533600.000000,1041.251304,1001.410429,-32.62455328,31.22706147,-186.3792159,175.9078356
7708800.000000,1041.251295,1001.410421,-32.62415328,31.22706147,-186.3775157,175.9073935
7884000.000000,1041.251286,1001.410413,-32.62374076,31.22706147,-186.3757357,175.9069185
8059200.000000,1041.251276,1001.410405,-32.62331652,31.22706147,-186.3738806,175.9064120
8234400.000000,1041.251266,1001.410396,-32.62288132,31.22706147,-186.3719551,175.9058756
8409600.000000,1041.251256,1001.410387,-32.62243585,31.22706147,-186.3699632,175.9053109
8584800.000000,1041.251245,1001.410378,-32.62198075,31.22706147,-186.3679089,175.9047191
8760000.000000,1041.251234,1001.410368,-32.62151663,31.22706147,-186.3657957,175.9041011
