time,EXTIN,INFLOW,FROMMVR,GWF,OUTFLOW,EXTOUT,TOMVR
2628000.000000,185.0000000,1015.854877,224.4623993,6.392043521,-1015.854877,-195.9399951,-207.1303606
2803200.000000,185.0000000,1015.855032,225.4554460,6.392741321,-1015.855032,-196.9316265,-207.1310781
2978400.000000,185.0000000,1015.855150,225.4551882,6.391906545,-1015.855150,-196.9315373,-207.1317443
3153600.000000,185.0000000,1015.855225,225.4549011,6.391126743,-1015.855225,-196.9314124,-207.1323619
3328800.000000,185.0000000,1015.855256,225.4545880,6.390399309,-1015.855256,-196.9312554,-207.1329333
3504000.000000,185.0000000,1015.855242,225.4542478,6.389721736,-1015.855242,-196.9310651,-207.1334610
3679200.000000,185.0000000,1015.855183,225.4538792,6.389091631,-1015.855183,-196.9308403,-207.1339472
3854400.000000,185.0000000,1015.855079,225.4534811,6.388506723,-1015.855079,-196.9305802,-207.1343942
4029600.000000,185.0000000,1015.854930,225.4530531,6.387964856,-1015.854930,-196.9302843,-207.1348040
4204800.000000,185.0000000,1015.854738,225.4525949,6.387463973,-1015.854738,-196.9299525,-207.1351784
4380000.000000,185.0000000,1015.854502,225.4521065,6.387002116,-1015.854502,-196.9295849,-207.1355195
4555200.000000,185.0000000,1015.877109,225.4628759,6.363771144,-1015.877109,-196.9632739,-207.1358309
4730400.000000,185.0000000,1015.906993,225.4773538,6.333323106,-1015.906993,-197.0079150,-207.1361157
4905600.000000,185.0000000,1015.934682,225.4908590,6.305110500,-1015.934682,-197.0493730,-207.1363756
5080800.000000,185.0000000,1015.960430,225.5034505,6.278871732,-1015.960430,-197.0879668,-207.1366119
5256000.000000,185.0000000,1015.984332,225.5151699,6.254507426,-1015.984332,-197.1238364,-207.1368260
5431200.000000,185.0000000,1016.006319,224.7743692,6.230703573,-1016.006319,-196.4066818,-207.1369838
5606400.000000,185.0000000,1016.026495,224.7837148,6.209741298,-1016.026495,-196.4368907,-207.1370828
5781600.000000,185.0000000,1016.041143,224.7902217,6.194132212,-1016.041143,-196.4589644,-207.1371251
5956800.000000,185.0000000,1016.043704,224.7906143,6.190415936,-1016.043704,-196.4630859,-207.1371125
6132000.000000,185.0000000,1016.040945,224.7882288,6.191837421,-1016.040945,-196.4593443,-207.1370472
6307200.000000,185.0000000,1016.035703,224.7844881,6.195574729,-1016.035703,-196.4519819,-207.1369315
6482400.000000,185.0000000,1016.029200,224.7800145,6.200415511,-1016.029200,-196.4428313,-207.1367677
6657600.000000,185.0000000,1016.022788,224.7754903,6.205022641,-1016.022788,-196.4339095,-207.1365582
6832800.000000,185.0000000,1016.016477,224.7709324,6.209395871,-1016.016477,-196.4252315,-207.1363050
7008000.000000,185.0000000,1016.010263,224.7663439,6.213550355,-1016.010263,-196.4167830,-207.1360105
7183200.000000,185.0000000,1016.004139,224.7617266,6.217501241,-1016.004139,-196.4085489,-207.1356765
