time,A,B
16.01371768813,115.9656386010275,115.9071724630962
32.34770973003,117.1128059177653,116.8959950772223
49.00838161277,118.4695204268835,117.9750059854824
66.00226693316,120.0300917203555,119.1396818429332
83.33602995996,121.7629769726540,120.3770449485908
101.0164682473,123.6221032457175,121.6697842214049
119.0505153004,125.5583099014710,122.9994782255071
137.4452432945,127.5269104163627,124.3446441111171
156.2078658485,129.4914846713615,125.6813964558358
175.3457408536,131.4248696750049,126.9931152762676
194.8663733589,133.3084650324077,128.2690447140404
214.7774185142,135.1196634599616,129.4797684355512
235.0866845726,136.8443057085078,130.5780786515103
255.8021359522,138.4777826082657,131.5824613782892
276.9318963593,140.0211776798723,132.5046611982329
298.4842519747,141.4430643866040,133.3485379871900
320.4676547023,142.7105954315887,134.1198309059514
342.8907254845,143.8546647040436,134.8242431450361
365.7622576823,144.8878085232442,135.4671663605740
389.0912205241,145.8191464178220,136.0536239496051
412.8867626227,146.6574565601237,136.5883245313044
437.1582155633,147.4108943133333,137.0756397838564
461.9150975627,148.0870569344756,137.5195862910678
487.1671172021,148.6930259445983,137.9238486136188
512.9241772343,149.2353441662900,138.2918235262387
539.1963784671,149.7200601740788,138.6266537483886
565.9940237245,150.1527845140349,138.9312369046891
593.3276218872,150.5387108311565,139.2081903925197
621.2078920131,150.8826100198262,139.4598948609660
649.6457675414,151.1888318600043,139.6885445997938
678.6524005804,151.4613289528172,139.8961623660786
708.2391662802,151.7036932601023,140.0846157651058
738.4176672939,151.9191921764453,140.2556324479720
769.1997383279,152.1107975868721,140.4108131290083
800.5974507826,152.2812074938729,140.5516399348869
832.6231174864,152.4328626263808,140.6794819080415
865.2892975242,152.5679607481598,140.7955987427650
898.6088011629,152.6884705848835,140.9011443012346
932.5946948743,152.7961463284932,140.9971705922053
967.2603064599,152.8925429512006,141.0846324585370
1002.619230277,152.9790321431522,141.1643929347084
1038.685332571,153.0568185101105,141.2372287820837
1075.472756910,153.1269556399456,141.3038363336079
1112.995929737,153.1903616980683,141.3648376404239
1151.269566020,153.2478342895189,141.4207867182187
1190.308675028,153.3000644075912,141.4721757642161
1230.128566217,153.3476493578569,141.5194411159884
1270.744855229,153.3911046020908,141.5629688881977
1312.173470022,153.4308745098305,141.6031002963668
1354.430657111,153.4673420266803,141.6401367527597
1397.532987941,153.5008372942771,141.6743447655014
1441.497365388,153.5316452894614,141.7059603330570
1486.341030384,153.5600125590001,141.7351927634902
1532.081568680,153.5861531184866,141.7622280329037
1578.736917741,153.6102535810749,141.7872318027708
1626.325373784,153.6324775799592,141.8103521973245
1674.865598948,153.6529695506128,141.8317223479979
1724.376628615,153.6718579371951,141.8514626074058
1774.877878876,153.6892578864726,141.8696824397082
1826.389154141,153.7052734913476,141.8864820356334
1878.930654912,153.7199996452491,141.9019537271375
1932.522985699,153.7335235604232,141.9161832409288
1987.187163101,153.7459259937711,141.9292506472408
2042.944624051,153.7572822244578,141.9412311159105
2099.817234220,153.7676628265620,141.9521955904698
2157.827296593,153.7771342724895,141.9622111530045
2216.997560213,153.7857593970749,141.9713414519435
2277.351229105,153.7935977494752,141.9796470883280
2338.911971375,153.8007058561231,141.9871858443271
2401.703928491,153.8071374165926,141.9940128460554
2465.751724749,153.8129434450869,142.0001806729513
2531.080476932,153.8181723710838,142.0057394284800
2597.715804159,153.8228701105392,142.0107367822980
2665.683837930,153.8270801189872,142.0152179957164
2735.011232377,153.8308434356618,142.0192259402872
2805.725174712,153.8341987242580,142.0228011151488
2877.853395895,153.8371823134023,142.0259816669915
2951.424181501,153.8398282403137,142.0288034154861
3026.466382819,153.8421682989961,142.0312998863479
3103.009428164,153.8442320945283,142.0335023529301
3181.083334415,153.8460471039621,142.0354398870040
3260.718718791,153.8476387443213,142.0371394187833
3341.946810855,153.8490304468774,142.0386258058737
3424.799464761,153.8502437375230,142.0399219100284
3509.309171744,153.8512983225825,142.0410486810632
3595.509072867,153.8522121787493,142.0420252465922
3683.432972012,153.8530016466692,142.0428690066211
3773.115349141,153.8536815263540,142.0435957309618
3864.591373812,153.8542651739111,142.0442196591451
3957.896918976,153.8547645986185,142.0447536012308
4053.068575044,153.8551905594290,142.0452090383876
4150.143664233,153.8555526591652,142.0455962219418
4249.160255206,153.8558594370195,142.0459242706916
4350.157177998,153.8561184580912,142.0462012654269
4453.174039246,153.8563363991425,142.0464343395352
4558.251237719,153.8565191301889,142.0466297659812
4665.429980162,153.8566717924913,142.0467930396842
4774.752297453,153.8567988715150,142.0469289553392
4886.261061090,153.8569042648978,142.0470416799368
5000.000000000,153.8569913463456,142.0471348205012
