time,STAGE
16.01371768813,110.3041334
32.34770973003,110.5693558
49.00838161277,110.8486269
66.00226693316,111.1446772
83.33602995996,111.4596273
101.0164682473,111.7954643
119.0505153004,112.1541330
137.4452432945,112.5375857
156.2078658485,112.9477997
175.3457408536,113.3867700
194.8663733589,113.8564849
214.7774185142,114.3588861
235.0866845726,114.8957973
255.8021359522,115.4688595
276.9318963593,116.0794784
298.4842519747,116.7287769
320.4676547023,117.4174685
342.8907254845,118.1456929
365.7622576823,118.9130169
389.0912205241,119.7184154
412.8867626227,120.5601402
437.1582155633,121.4353181
461.9150975627,122.3400532
487.1671172021,123.2698176
512.9241772343,124.2196253
539.1963784671,125.1841641
565.9940237245,126.1574673
593.3276218872,127.1335666
621.2078920131,128.1058122
649.6457675414,129.0680224
678.6524005804,130.0156541
708.2391662802,130.9452264
738.4176672939,131.8539895
769.1997383279,132.7397316
800.5974507826,133.6006612
832.6231174864,134.4353312
865.2892975242,135.2425869
898.6088011629,136.0215288
932.5946948743,136.7714833
967.2603064599,137.4919784
1002.619230277,138.1827242
1038.685332571,138.8435947
1075.472756910,139.4746125
1112.995929737,140.0759339
1151.269566020,140.6478360
1190.308675028,141.1907026
1230.128566217,141.7050143
1270.744855229,142.1913380
1312.173470022,142.6503171
1354.430657111,143.0826506
1397.532987941,143.4890854
1441.497365388,143.8704248
1486.341030384,144.2275189
1532.081568680,144.5612552
1578.736917741,144.8725495
1626.325373784,145.1623365
1674.865598948,145.4315621
1724.376628615,145.6811819
1774.877878876,145.9121551
1826.389154141,146.1254382
1878.930654912,146.3219789
1932.522985699,146.5027126
1987.187163101,146.6685596
2042.944624051,146.8204213
2099.817234220,146.9591765
2157.827296593,147.0856793
2216.997560213,147.2007560
2277.351229105,147.3052038
2338.911971375,147.3997887
2401.703928491,147.4852440
2465.751724749,147.5622699
2531.080476932,147.6315328
2597.715804159,147.6936645
2665.683837930,147.7492628
2735.011232377,147.7988909
2805.725174712,147.8430778
2877.853395895,147.8823193
2951.424181501,147.9170778
3026.466382819,147.9477840
3103.009428164,147.9748373
3181.083334415,147.9986071
3260.718718791,148.0194337
3341.946810855,148.0376300
3424.799464761,148.0534827
3509.309171744,148.0672531
3595.509072867,148.0791793
3683.432972012,148.0894771
3773.115349141,148.0983417
3864.591373812,148.1059486
3957.896918976,148.1124556
4053.068575044,148.1180039
4150.143664233,148.1227192
4249.160255206,148.1267132
4350.157177998,148.1300848
4453.174039246,148.1329213
4558.251237719,148.1352991
4665.429980162,148.1372855
4774.752297453,148.1389388
4886.261061090,148.1403099
5000.000000000,148.1414427
