,0,1,2,3
0,0,0,0,160
1,0,1,0,160
2,0,2,0,160
3,0,3,0,160
4,0,4,0,160
5,0,5,0,160
6,0,6,0,160
7,0,7,0,160
8,0,8,0,160
9,0,9,0,160
10,0,10,0,160
11,0,11,0,160
12,0,12,0,160
13,0,13,0,160
14,0,14,0,160
15,0,15,0,160
16,0,16,0,160
17,0,17,0,160
18,0,18,0,160
19,0,19,0,160
20,0,20,0,160
21,0,21,0,160
22,0,22,0,160
23,0,23,0,160
24,0,24,0,160
25,0,25,0,160
26,0,26,0,160
27,0,0,16,140
28,0,1,16,140
29,0,2,16,140
30,0,3,16,140
31,0,4,16,140
32,0,5,16,140
33,0,6,16,140
34,0,7,16,140
35,0,8,16,140
36,0,9,16,140
37,0,10,16,140
38,0,11,16,140
39,0,12,16,140
40,0,13,16,140
41,0,14,16,140
42,0,15,16,140
43,0,16,16,140
44,0,17,16,140
45,0,18,16,140
46,0,19,16,140
47,0,20,16,140
48,0,21,16,140
49,0,22,16,140
50,0,23,16,140
51,0,24,16,140
52,0,25,16,140
53,0,26,16,140
54,1,0,0,160
55,1,1,0,160
56,1,2,0,160
57,1,3,0,160
58,1,4,0,160
59,1,5,0,160
60,1,6,0,160
61,1,7,0,160
62,1,8,0,160
63,1,9,0,160
64,1,10,0,160
65,1,11,0,160
66,1,12,0,160
67,1,13,0,160
68,1,14,0,160
69,1,15,0,160
70,1,16,0,160
71,1,17,0,160
72,1,18,0,160
73,1,19,0,160
74,1,20,0,160
75,1,21,0,160
76,1,22,0,160
77,1,23,0,160
78,1,24,0,160
79,1,25,0,160
80,1,26,0,160
81,1,0,16,140
82,1,1,16,140
83,1,2,16,140
84,1,3,16,140
85,1,4,16,140
86,1,5,16,140
87,1,6,16,140
88,1,7,16,140
89,1,8,16,140
90,1,9,16,140
91,1,10,16,140
92,1,11,16,140
93,1,12,16,140
94,1,13,16,140
95,1,14,16,140
96,1,15,16,140
97,1,16,16,140
98,1,17,16,140
99,1,18,16,140
100,1,19,16,140
101,1,20,16,140
102,1,21,16,140
103,1,22,16,140
104,1,23,16,140
105,1,24,16,140
106,1,25,16,140
107,1,26,16,140
108,2,0,0,160
109,2,1,0,160
110,2,2,0,160
111,2,3,0,160
112,2,4,0,160
113,2,5,0,160
114,2,6,0,160
115,2,7,0,160
116,2,8,0,160
117,2,9,0,160
118,2,10,0,160
119,2,11,0,160
120,2,12,0,160
121,2,13,0,160
122,2,14,0,160
123,2,15,0,160
124,2,16,0,160
125,2,17,0,160
126,2,18,0,160
127,2,19,0,160
128,2,20,0,160
129,2,21,0,160
130,2,22,0,160
131,2,23,0,160
132,2,24,0,160
133,2,25,0,160
134,2,26,0,160
135,2,0,16,140
136,2,1,16,140
137,2,2,16,140
138,2,3,16,140
139,2,4,16,140
140,2,5,16,140
141,2,6,16,140
142,2,7,16,140
143,2,8,16,140
144,2,9,16,140
145,2,10,16,140
146,2,11,16,140
147,2,12,16,140
148,2,13,16,140
149,2,14,16,140
150,2,15,16,140
151,2,16,16,140
152,2,17,16,140
153,2,18,16,140
154,2,19,16,140
155,2,20,16,140
156,2,21,16,140
157,2,22,16,140
158,2,23,16,140
159,2,24,16,140
160,2,25,16,140
161,2,26,16,140
162,3,0,0,160
163,3,1,0,160
164,3,2,0,160
165,3,3,0,160
166,3,4,0,160
167,3,5,0,160
168,3,6,0,160
169,3,7,0,160
170,3,8,0,160
171,3,9,0,160
172,3,10,0,160
173,3,11,0,160
174,3,12,0,160
175,3,13,0,160
176,3,14,0,160
177,3,15,0,160
178,3,16,0,160
179,3,17,0,160
180,3,18,0,160
181,3,19,0,160
182,3,20,0,160
183,3,21,0,160
184,3,22,0,160
185,3,23,0,160
186,3,24,0,160
187,3,25,0,160
188,3,26,0,160
189,3,0,16,140
190,3,1,16,140
191,3,2,16,140
192,3,3,16,140
193,3,4,16,140
194,3,5,16,140
195,3,6,16,140
196,3,7,16,140
197,3,8,16,140
198,3,9,16,140
199,3,10,16,140
200,3,11,16,140
201,3,12,16,140
202,3,13,16,140
203,3,14,16,140
204,3,15,16,140
205,3,16,16,140
206,3,17,16,140
207,3,18,16,140
208,3,19,16,140
209,3,20,16,140
210,3,21,16,140
211,3,22,16,140
212,3,23,16,140
213,3,24,16,140
214,3,25,16,140
215,3,26,16,140
216,4,0,0,160
217,4,1,0,160
218,4,2,0,160
219,4,3,0,160
220,4,4,0,160
221,4,5,0,160
222,4,6,0,160
223,4,7,0,160
224,4,8,0,160
225,4,9,0,160
226,4,10,0,160
227,4,11,0,160
228,4,12,0,160
229,4,13,0,160
230,4,14,0,160
231,4,15,0,160
232,4,16,0,160
233,4,17,0,160
234,4,18,0,160
235,4,19,0,160
236,4,20,0,160
237,4,21,0,160
238,4,22,0,160
239,4,23,0,160
240,4,24,0,160
241,4,25,0,160
242,4,26,0,160
243,4,0,16,140
244,4,1,16,140
245,4,2,16,140
246,4,3,16,140
247,4,4,16,140
248,4,5,16,140
249,4,6,16,140
250,4,7,16,140
251,4,8,16,140
252,4,9,16,140
253,4,10,16,140
254,4,11,16,140
255,4,12,16,140
256,4,13,16,140
257,4,14,16,140
258,4,15,16,140
259,4,16,16,140
260,4,17,16,140
261,4,18,16,140
262,4,19,16,140
263,4,20,16,140
264,4,21,16,140
265,4,22,16,140
266,4,23,16,140
267,4,24,16,140
268,4,25,16,140
269,4,26,16,140
