,a0,a1,a2,a3,a4,a5,a6,a7,a8,b0,b1,b2
0,0,0,"(0, 5, 6)",horizontal,0.1,102.0,200.0,500.0,500.0,0,5,6
1,0,1,"(0, 6, 5)",horizontal,0.1,102.0,200.0,500.0,500.0,0,6,5
2,0,2,"(1, 6, 6)",vertical,0.1,0.0,0.0,0.0,0.0,1,6,6
3,0,3,"(0, 5, 7)",horizontal,0.1,102.0,200.0,500.0,500.0,0,5,7
4,0,4,"(1, 6, 7)",vertical,0.1,0.0,0.0,0.0,0.0,1,6,7
5,0,5,"(0, 5, 8)",horizontal,0.1,102.0,200.0,500.0,500.0,0,5,8
6,0,6,"(1, 6, 8)",vertical,0.1,0.0,0.0,0.0,0.0,1,6,8
7,0,7,"(0, 5, 9)",horizontal,0.1,102.0,200.0,500.0,500.0,0,5,9
8,0,8,"(1, 6, 9)",vertical,0.1,0.0,0.0,0.0,0.0,1,6,9
9,0,9,"(0, 5, 10)",horizontal,0.1,102.0,200.0,500.0,500.0,0,5,10
10,0,10,"(0, 6, 11)",horizontal,0.1,102.0,200.0,500.0,500.0,0,6,11
11,0,11,"(1, 6, 10)",vertical,0.1,0.0,0.0,0.0,0.0,1,6,10
12,0,12,"(0, 7, 5)",horizontal,0.1,102.0,200.0,500.0,500.0,0,7,5
13,0,13,"(1, 7, 6)",vertical,0.1,0.0,0.0,0.0,0.0,1,7,6
14,0,14,"(0, 7, 11)",horizontal,0.1,102.0,200.0,500.0,500.0,0,7,11
15,0,15,"(1, 7, 10)",vertical,0.1,0.0,0.0,0.0,0.0,1,7,10
16,0,16,"(0, 8, 5)",horizontal,0.1,102.0,200.0,500.0,500.0,0,8,5
17,0,17,"(1, 8, 6)",vertical,0.1,0.0,0.0,0.0,0.0,1,8,6
18,0,18,"(0, 8, 11)",horizontal,0.1,102.0,200.0,500.0,500.0,0,8,11
19,0,19,"(1, 8, 10)",vertical,0.1,0.0,0.0,0.0,0.0,1,8,10
20,0,20,"(0, 9, 5)",horizontal,0.1,102.0,200.0,500.0,500.0,0,9,5
21,0,21,"(1, 9, 6)",vertical,0.1,0.0,0.0,0.0,0.0,1,9,6
22,0,22,"(0, 9, 11)",horizontal,0.1,102.0,200.0,500.0,500.0,0,9,11
23,0,23,"(1, 9, 10)",vertical,0.1,0.0,0.0,0.0,0.0,1,9,10
24,0,24,"(0, 10, 5)",horizontal,0.1,102.0,200.0,500.0,500.0,0,10,5
25,0,25,"(0, 11, 6)",horizontal,0.1,102.0,200.0,500.0,500.0,0,11,6
26,0,26,"(1, 10, 6)",vertical,0.1,0.0,0.0,0.0,0.0,1,10,6
27,0,27,"(0, 11, 7)",horizontal,0.1,102.0,200.0,500.0,500.0,0,11,7
28,0,28,"(1, 10, 7)",vertical,0.1,0.0,0.0,0.0,0.0,1,10,7
29,0,29,"(0, 11, 8)",horizontal,0.1,102.0,200.0,500.0,500.0,0,11,8
30,0,30,"(1, 10, 8)",vertical,0.1,0.0,0.0,0.0,0.0,1,10,8
31,0,31,"(0, 11, 9)",horizontal,0.1,102.0,200.0,500.0,500.0,0,11,9
32,0,32,"(1, 10, 9)",vertical,0.1,0.0,0.0,0.0,0.0,1,10,9
33,0,33,"(0, 10, 11)",horizontal,0.1,102.0,200.0,500.0,500.0,0,10,11
34,0,34,"(0, 11, 10)",horizontal,0.1,102.0,200.0,500.0,500.0,0,11,10
35,0,35,"(1, 10, 10)",vertical,0.1,0.0,0.0,0.0,0.0,1,10,10
36,0,36,"(1, 6, 7)",horizontal,0.1,97.0,102.0,250.0,500.0,1,6,7
37,0,37,"(1, 7, 6)",horizontal,0.1,97.0,102.0,250.0,500.0,1,7,6
38,0,38,"(2, 7, 7)",vertical,0.1,0.0,0.0,0.0,0.0,2,7,7
39,0,39,"(1, 6, 8)",horizontal,0.1,97.0,102.0,250.0,500.0,1,6,8
40,0,40,"(2, 7, 8)",vertical,0.1,0.0,0.0,0.0,0.0,2,7,8
41,0,41,"(1, 6, 9)",horizontal,0.1,97.0,102.0,250.0,500.0,1,6,9
42,0,42,"(1, 7, 10)",horizontal,0.1,97.0,102.0,250.0,500.0,1,7,10
43,0,43,"(2, 7, 9)",vertical,0.1,0.0,0.0,0.0,0.0,2,7,9
44,0,44,"(1, 8, 6)",horizontal,0.1,97.0,102.0,250.0,500.0,1,8,6
45,0,45,"(2, 8, 7)",vertical,0.1,0.0,0.0,0.0,0.0,2,8,7
46,0,46,"(2, 8, 8)",vertical,0.1,0.0,0.0,0.0,0.0,2,8,8
47,0,47,"(1, 8, 10)",horizontal,0.1,97.0,102.0,250.0,500.0,1,8,10
48,0,48,"(2, 8, 9)",vertical,0.1,0.0,0.0,0.0,0.0,2,8,9
49,0,49,"(1, 9, 6)",horizontal,0.1,97.0,102.0,250.0,500.0,1,9,6
50,0,50,"(1, 10, 7)",horizontal,0.1,97.0,102.0,250.0,500.0,1,10,7
51,0,51,"(2, 9, 7)",vertical,0.1,0.0,0.0,0.0,0.0,2,9,7
52,0,52,"(1, 10, 8)",horizontal,0.1,97.0,102.0,250.0,500.0,1,10,8
53,0,53,"(2, 9, 8)",vertical,0.1,0.0,0.0,0.0,0.0,2,9,8
54,0,54,"(1, 9, 10)",horizontal,0.1,97.0,102.0,250.0,500.0,1,9,10
55,0,55,"(1, 10, 9)",horizontal,0.1,97.0,102.0,250.0,500.0,1,10,9
56,0,56,"(2, 9, 9)",vertical,0.1,0.0,0.0,0.0,0.0,2,9,9
57,1,0,"(0, 15, 6)",horizontal,0.1,102.0,200.0,500.0,500.0,0,15,6
58,1,1,"(0, 16, 5)",horizontal,0.1,102.0,200.0,500.0,500.0,0,16,5
59,1,2,"(1, 16, 6)",vertical,0.1,0.0,0.0,0.0,0.0,1,16,6
60,1,3,"(0, 15, 7)",horizontal,0.1,102.0,200.0,500.0,500.0,0,15,7
61,1,4,"(1, 16, 7)",vertical,0.1,0.0,0.0,0.0,0.0,1,16,7
62,1,5,"(0, 15, 8)",horizontal,0.1,102.0,200.0,500.0,500.0,0,15,8
63,1,6,"(1, 16, 8)",vertical,0.1,0.0,0.0,0.0,0.0,1,16,8
64,1,7,"(0, 15, 9)",horizontal,0.1,102.0,200.0,500.0,500.0,0,15,9
65,1,8,"(1, 16, 9)",vertical,0.1,0.0,0.0,0.0,0.0,1,16,9
66,1,9,"(0, 15, 10)",horizontal,0.1,102.0,200.0,500.0,500.0,0,15,10
67,1,10,"(0, 16, 11)",horizontal,0.1,102.0,200.0,500.0,500.0,0,16,11
68,1,11,"(1, 16, 10)",vertical,0.1,0.0,0.0,0.0,0.0,1,16,10
69,1,12,"(0, 17, 5)",horizontal,0.1,102.0,200.0,500.0,500.0,0,17,5
70,1,13,"(1, 17, 6)",vertical,0.1,0.0,0.0,0.0,0.0,1,17,6
71,1,14,"(0, 17, 11)",horizontal,0.1,102.0,200.0,500.0,500.0,0,17,11
72,1,15,"(1, 17, 10)",vertical,0.1,0.0,0.0,0.0,0.0,1,17,10
73,1,16,"(0, 18, 5)",horizontal,0.1,102.0,200.0,500.0,500.0,0,18,5
74,1,17,"(1, 18, 6)",vertical,0.1,0.0,0.0,0.0,0.0,1,18,6
75,1,18,"(0, 18, 11)",horizontal,0.1,102.0,200.0,500.0,500.0,0,18,11
76,1,19,"(1, 18, 10)",vertical,0.1,0.0,0.0,0.0,0.0,1,18,10
77,1,20,"(0, 19, 5)",horizontal,0.1,102.0,200.0,500.0,500.0,0,19,5
78,1,21,"(1, 19, 6)",vertical,0.1,0.0,0.0,0.0,0.0,1,19,6
79,1,22,"(0, 19, 11)",horizontal,0.1,102.0,200.0,500.0,500.0,0,19,11
80,1,23,"(1, 19, 10)",vertical,0.1,0.0,0.0,0.0,0.0,1,19,10
81,1,24,"(0, 20, 5)",horizontal,0.1,102.0,200.0,500.0,500.0,0,20,5
82,1,25,"(0, 21, 6)",horizontal,0.1,102.0,200.0,500.0,500.0,0,21,6
83,1,26,"(1, 20, 6)",vertical,0.1,0.0,0.0,0.0,0.0,1,20,6
84,1,27,"(0, 21, 7)",horizontal,0.1,102.0,200.0,500.0,500.0,0,21,7
85,1,28,"(1, 20, 7)",vertical,0.1,0.0,0.0,0.0,0.0,1,20,7
86,1,29,"(0, 21, 8)",horizontal,0.1,102.0,200.0,500.0,500.0,0,21,8
87,1,30,"(1, 20, 8)",vertical,0.1,0.0,0.0,0.0,0.0,1,20,8
88,1,31,"(0, 21, 9)",horizontal,0.1,102.0,200.0,500.0,500.0,0,21,9
89,1,32,"(1, 20, 9)",vertical,0.1,0.0,0.0,0.0,0.0,1,20,9
90,1,33,"(0, 20, 11)",horizontal,0.1,102.0,200.0,500.0,500.0,0,20,11
91,1,34,"(0, 21, 10)",horizontal,0.1,102.0,200.0,500.0,500.0,0,21,10
92,1,35,"(1, 20, 10)",vertical,0.1,0.0,0.0,0.0,0.0,1,20,10
93,1,36,"(1, 16, 7)",horizontal,0.1,97.0,102.0,250.0,500.0,1,16,7
94,1,37,"(1, 17, 6)",horizontal,0.1,97.0,102.0,250.0,500.0,1,17,6
95,1,38,"(2, 17, 7)",vertical,0.1,0.0,0.0,0.0,0.0,2,17,7
96,1,39,"(1, 16, 8)",horizontal,0.1,97.0,102.0,250.0,500.0,1,16,8
97,1,40,"(2, 17, 8)",vertical,0.1,0.0,0.0,0.0,0.0,2,17,8
98,1,41,"(1, 16, 9)",horizontal,0.1,97.0,102.0,250.0,500.0,1,16,9
