,Depth,Nporosity
0,0.25,-1.37
1,0.5,-2.08
2,0.75,-1.67
3,1.0,-1.16
4,1.25,-0.24
5,1.5,-0.36
6,1.75,0.44
7,2.0,0.36
8,2.25,-0.02
9,2.5,-0.63
10,2.75,-1.26
11,3.0,-1.03
12,3.25,0.88
13,3.5,1.51
14,3.75,1.37
15,4.0,0.81
16,4.25,1.21
17,4.5,0.24
18,4.75,0.99
19,5.0,0.49
20,5.25,0.34
21,5.5,0.07
22,5.75,-0.26
23,6.0,-0.41
24,6.25,-0.14
25,6.5,-1.44
26,6.75,-0.75
27,7.0,-0.78
28,7.25,-0.85
29,7.5,-0.92
30,7.75,-0.66
31,8.0,0.47
32,8.25,0.85
33,8.5,0.95
34,8.75,2.35
35,9.0,0.69
36,9.25,1.31
37,9.5,0.66
38,9.75,0.72
39,10.0,0.21
