,fid,cat,stream_typ,type_code,network,geometry
0,220.0,10,start,0,22,"LINESTRING (466928.5313 7617136.5, 467178.5313 7617024, 467391.0313 7617061.5, 467828.5313 7616674, 468066.0313 7616686.5)"
1,222.0,39,intermediate,1,22,"LINESTRING (468066.0313 7616686.5, 468166.0313 7616011.5, 468341.0313 7615824, 468341.0313 7615636.5, 468178.5313 7615424, 468416.0313 7615061.5, 468303.5313 7614724, 468103.5313 7614436.5, 468078.5313 7614174)"
2,230.0,122,intermediate,1,22,"LINESTRING (468078.5313 7614174, 467753.5313 7613911.5)"
3,234.0,123,intermediate,1,22,"LINESTRING (467753.5313 7613911.5, 467516.0313 7613786.5, 467278.5313 7613524, 467166.0313 7613511.5)"
4,235.0,127,intermediate,1,22,"LINESTRING (467166.0313 7613511.5, 466978.5313 7613536.5)"
5,237.0,130,intermediate,1,22,"LINESTRING (466978.5313 7613536.5, 466966.0313 7613511.5)"
6,238.0,131,intermediate,1,22,"LINESTRING (466966.0313 7613511.5, 466766.0313 7613386.5, 466753.5313 7613236.5)"
7,240.0,133,intermediate,1,22,"LINESTRING (466753.5313 7613236.5, 466728.5313 7613174)"
8,242.0,135,intermediate,1,22,"LINESTRING (466728.5313 7613174, 466703.5313 7613124)"
9,243.0,136,intermediate,1,22,"LINESTRING (466703.5313 7613124, 466616.0313 7613174)"
10,245.0,139,intermediate,1,22,"LINESTRING (466616.0313 7613174, 466528.5313 7613161.5)"
11,246.0,141,intermediate,1,22,"LINESTRING (466528.5313 7613161.5, 466391.0313 7612986.5, 466216.0313 7613011.5)"
12,247.0,143,intermediate,1,22,"LINESTRING (466216.0313 7613011.5, 465766.0313 7613236.5)"
13,251.0,147,intermediate,1,22,"LINESTRING (465766.0313 7613236.5, 465603.5313 7613074)"
14,253.0,152,intermediate,1,22,"LINESTRING (465603.5313 7613074, 465566.0313 7613036.5)"
15,254.0,154,intermediate,1,22,"LINESTRING (465566.0313 7613036.5, 465491.0313 7612986.5)"
16,256.0,155,intermediate,1,22,"LINESTRING (465491.0313 7612986.5, 465403.5313 7612749)"
17,258.0,159,intermediate,1,22,"LINESTRING (465403.5313 7612749, 465366.0313 7612711.5)"
18,259.0,161,intermediate,1,22,"LINESTRING (465366.0313 7612711.5, 465316.0313 7612499)"
19,261.0,163,intermediate,1,22,"LINESTRING (465316.0313 7612499, 465303.5313 7612449)"
20,262.0,165,intermediate,1,22,"LINESTRING (465303.5313 7612449, 465366.0313 7612061.5)"
21,264.0,194,intermediate,1,22,"LINESTRING (465366.0313 7612061.5, 465278.5313 7611749)"
22,265.0,196,intermediate,1,22,"LINESTRING (465278.5313 7611749, 465253.5313 7611636.5, 464853.5313 7611461.5, 464528.5313 7611549, 464303.5313 7611374, 464216.0313 7611086.5, 464328.5313 7610924, 464291.0313 7610661.5)"
23,266.0,221,intermediate,1,22,"LINESTRING (464291.0313 7610661.5, 464566.0313 7610411.5, 464728.5313 7610074)"
24,268.0,231,intermediate,1,22,"LINESTRING (464728.5313 7610074, 464841.0313 7609911.5)"
25,269.0,233,intermediate,1,22,"LINESTRING (464841.0313 7609911.5, 464841.0313 7609899)"
26,273.0,234,intermediate,1,22,"LINESTRING (464841.0313 7609899, 464828.5313 7609636.5)"
27,274.0,236,intermediate,1,22,"LINESTRING (464828.5313 7609636.5, 464778.5313 7609599)"
28,276.0,239,intermediate,1,22,"LINESTRING (464778.5313 7609599, 464766.0313 7609561.5)"
29,277.0,240,intermediate,1,22,"LINESTRING (464766.0313 7609561.5, 464741.0313 7609261.5, 464641.0313 7609074)"
30,279.0,242,intermediate,1,22,"LINESTRING (464641.0313 7609074, 464591.0313 7608824)"
31,281.0,244,intermediate,1,22,"LINESTRING (464591.0313 7608824, 464591.0313 7608786.5)"
32,282.0,246,intermediate,1,22,"LINESTRING (464591.0313 7608786.5, 464503.5313 7608661.5)"
33,284.0,248,intermediate,1,22,"LINESTRING (464503.5313 7608661.5, 464266.0313 7608411.5)"
34,286.0,250,intermediate,1,22,"LINESTRING (464266.0313 7608411.5, 464253.5313 7608386.5)"
35,288.0,252,intermediate,1,22,"LINESTRING (464253.5313 7608386.5, 464228.5313 7608349)"
36,290.0,254,intermediate,1,22,"LINESTRING (464228.5313 7608349, 464128.5313 7608199, 464130.2813 7607879.75)"
