Lookup_Code,Geology_Type,Lookup_Code,K_m_s,Kh_m_d,Kv_m_d,Comments
11,Outwash,11,0.001,175.0,17.5,
12,Peat & outwash,12,0.001,175.0,17.5,
13,Water & outwash,13,0.001,175.0,17.5,
14,Basal Coarse,14,0.001,175.0,17.5,
15,Kame,15,0.001,19.812,1.9812000000000003,
16,Alluvial fan,16,0.001,12.192,1.2192,
17,Alluvium & outwash,17,0.001,12.192,1.2192,
18,Kame moraine,18,0.001,19.812,1.9812000000000003,
19,Till moraine,19,0.001,86.39999999999999,8.639999999999999,
20,Till & Bedrock,20,0.001,86.39999999999999,8.639999999999999,
21,Till,21,0.001,86.39999999999999,8.639999999999999,
22,Bedrock,22,0.001,1.0,0.1,
23,Lacustrine silt & clay,23,0.001,86.39999999999999,8.639999999999999,
24,Outwash & alluvial fan combination,24,0.001,175.0,17.5,This geology type is a mix between outwash and alluvial fan.  K value should be somewhere between outwash K and alluvial fan K. 
25,Kame & alluvial fan combination,25,0.001,80.0,8.0,This geology type is a mix between outwash and kame.  K value should be somewhere between kame K and alluvial fan K. 
26,Peat outwash & alluvium combination,26,0.001,80.0,8.0,"This geology type is a mix between outwash, alluvium and peat.  K value should be somewhere between peat K, alluvial fan K, and outwash K. "
27,Peat & kame combination,27,0.001,80.0,8.0,This geology type is a mix between peat and kame.  K value should be somewhere between kame K and peat K. 
28,Alluvium & Kame combination,28,0.001,80.0,8.0,This geology type is a mix between alluvium and kame.  K value should be somewhere between kame K and alluvium K. 
29,Artificial fill,29,0.001,80.0,8.0,
30,Lacustrine Sand,30,0.001,2.0,0.2,
31,Lacustrine sand & alluvium combination,31,0.001,80.0,8.0,This geology type is a mix between lacustrine sand and alluvium.  K value should be somewhere between the two.
32,Till/alluvium combination,32,0.001,80.0,8.0,This geology type is a mix between till and alluvium.  K value should be somewhere between the two.
33,lacustrine sand & alluvium fan combination,33,0.001,80.0,8.0,This geology type is a mix between lacustrine sand and alluvium fan.  K value should be somewhere between the two.
34,lacustrine silt & alluvium fan combination,34,0.001,80.0,8.0,This geology type is a mix betweenlacustrine silt and alluvium fan.  K value should be somewhere between the two.
35,Alluvium & lacustrine silt and clay combination,35,0.001,80.0,8.0,This geology type is a mix between alluvium and lacustrine silt and clay.  K value should be somewhere between the two.
36,Till & Kame combination,36,0.001,80.0,8.0,This geology type is a mix between till and kame.  K value should be somewhere between the two.
37,Till & Outwash combination,37,0.001,80.0,8.0,This geology type is a mix between till and outwash.  K value should be somewhere between the two.
38,Kame & Water,38,0.001,80.0,8.0,
39,Peat & Till combination,39,0.001,80.0,8.0,This geology type is a mix between till and peat.  K value should be somewhere between the two.
