#k i j q boundname
10 12 23 -565.548 wel_100684
9 12 30 -121.332 wel_100688
9 14 31 -121.332 wel_101083
9 14 33 -121.332 wel_101084
10 15 13 -565.548 wel_101466
10 15 20 -1252.43 wel_101470
9 20 23 -121.332 wel_102654
10 22 4 -570.139 wel_103036
10 22 13 -1131.1 wel_103042
7 27 4 -151.686 wel_104218
7 27 7 -106.18 wel_104220
10 27 17 -1696.64 wel_104226
9 28 4 -120.502 wel_104612
7 28 17 -1483.88 wel_104620
10 28 22 -565.548 wel_104623
1 27 3 -5341.82 wel_58514
1 27 5 -2439.68 wel_58515
1 27 6 -2894.91 wel_58516
1 27 8 -3279.5 wel_58517
1 27 9 -4031.97 wel_58518
1 27 11 -2697.56 wel_58519
1 27 13 -2927.6 wel_58520
1 27 14 -670.222 wel_58521
13 27 16 -1107.74 wel_58522
4 27 18 -2263.36 wel_58523
13 27 19 -934.669 wel_58524
4 27 21 -526.892 wel_58525
11 27 22 -102.957 wel_58526
13 27 24 -1499.93 wel_58527
13 27 26 -1853.23 wel_58528
4 27 27 -2505.29 wel_58529
4 27 29 -1104.26 wel_58530
4 27 30 -1814.22 wel_58531
13 27 32 -40.3724 wel_58532
1 26 3 -4641.27 wel_58908
1 26 5 -3278.55 wel_58909
1 26 6 -3205.37 wel_58910
1 26 8 -3085.59 wel_58911
1 26 9 -2315.54 wel_58912
1 26 11 -3205.74 wel_58913
1 26 13 -1988.4 wel_58914
13 26 14 -1275.86 wel_58915
13 26 16 -844.894 wel_58916
4 26 18 -327.031 wel_58917
13 26 19 -2531.33 wel_58918
13 26 22 -504.68 wel_58920
13 26 24 -926.614 wel_58921
13 26 26 -1467.61 wel_58922
13 26 27 -2483.03 wel_58923
13 26 29 -1432.04 wel_58924
13 26 30 -1479.93 wel_58925
1 24 3 -1594.84 wel_59302
1 24 5 -1529.23 wel_59303
1 24 6 -2339.45 wel_59304
1 24 8 -3042.31 wel_59305
1 24 9 -4829.03 wel_59306
1 24 11 -3603.88 wel_59307
1 24 13 -3269.14 wel_59308
4 24 14 -3235.75 wel_59309
4 24 16 -2890.6 wel_59310
13 24 18 -960.252 wel_59311
13 24 19 -1621 wel_59312
13 24 21 -960.933 wel_59313
13 24 22 -1269.8 wel_59314
13 24 24 -1785.62 wel_59315
13 24 26 -5434.67 wel_59316
4 24 27 -4248.5 wel_59317
13 24 29 -3531.86 wel_59318
13 24 30 -1750.27 wel_59319
13 24 32 -1183.91 wel_59320
1 23 3 -985.097 wel_59696
1 23 5 -2575.99 wel_59697
1 23 6 -4119.39 wel_59698
1 23 8 -4037.57 wel_59699
1 23 9 -3355.52 wel_59700
1 23 11 -3946.76 wel_59701
9 23 13 -4611.97 wel_59702
4 23 14 -3610.4 wel_59703
4 23 16 -4524.14 wel_59704
4 23 18 -4306.12 wel_59705
4 23 19 -2279.17 wel_59706
13 23 21 -892.295 wel_59707
13 23 22 -171.595 wel_59708
12 23 24 -617.743 wel_59709
13 23 26 -717.674 wel_59710
13 23 27 -1443.36 wel_59711
13 23 29 -1034.94 wel_59712
13 23 30 -1699.79 wel_59713
13 23 32 -1100.21 wel_59714
1 21 3 -1839.08 wel_60090
1 21 5 -1211.28 wel_60091
1 21 6 -3495.6 wel_60092
1 21 8 -3104.89 wel_60093
1 21 9 -3301.72 wel_60094
1 21 11 -3192.66 wel_60095
4 21 13 -3492.57 wel_60096
4 21 14 -3907.43 wel_60097
4 21 16 -3128.53 wel_60098
4 21 18 -2900.4 wel_60099
4 21 19 -1464.65 wel_60100
13 21 21 -205.914 wel_60101
13 21 29 -177.649 wel_60106
13 21 30 -1715.95 wel_60107
13 21 32 -2217.32 wel_60108
1 19 3 -2908.06 wel_60484
1 19 5 -3164.44 wel_60485
1 19 6 -3159.42 wel_60486
1 19 8 -1501.99 wel_60487
1 19 9 -2642.57 wel_60488
4 19 11 -2261.07 wel_60489
4 19 13 -3251.24 wel_60490
4 19 14 -2772.77 wel_60491
13 19 16 -1559.21 wel_60492
13 19 18 -1287 wel_60493
13 19 19 -1443.47 wel_60494
13 19 21 -1505.94 wel_60495
13 19 22 -884.191 wel_60496
13 19 24 -379.616 wel_60497
13 19 29 -126.539 wel_60500
13 19 30 -195.809 wel_60501
4 19 32 -286.659 wel_60502
1 18 3 -4838.1 wel_60878
1 18 5 -1921.87 wel_60879
1 18 6 -4201.98 wel_60880
1 18 8 -4051.57 wel_60881
1 18 9 -3989.13 wel_60882
4 18 11 -2194.38 wel_60883
4 18 13 -3202.83 wel_60884
4 18 14 -1010.1 wel_60885
4 18 16 -1899.65 wel_60886
4 18 18 -2864.76 wel_60887
13 18 19 -1536.31 wel_60888
13 18 21 -1449.45 wel_60889
13 18 22 -720.7 wel_60890
13 18 24 -1228.96 wel_60891
13 18 30 -126.539 wel_60895
1 16 3 -3365.33 wel_61272
1 16 5 -4256.67 wel_61273
1 16 6 -3711.34 wel_61274
1 16 8 -3978.06 wel_61275
4 16 9 -3219.94 wel_61276
4 16 11 -1532.2 wel_61277
13 16 13 -1913.71 wel_61278
4 16 14 -1674.19 wel_61279
4 16 16 -5275.18 wel_61280
13 16 18 -1833.86 wel_61281
13 16 19 -1831.02 wel_61282
13 16 21 -3340.95 wel_61283
4 16 22 -3096.77 wel_61284
13 16 24 -240.233 wel_61285
13 16 26 -424.673 wel_61286
13 16 27 -274.552 wel_61287
13 16 32 -253.078 wel_61290
1 15 3 -3598.56 wel_61666
1 15 5 -4495.87 wel_61667
1 15 6 -3797.28 wel_61668
1 15 8 -3137.21 wel_61669
4 15 9 -2495.2 wel_61670
4 15 11 -2553.72 wel_61671
4 15 13 -2214.58 wel_61672
6 15 14 -1994.51 wel_61673
4 15 16 -2876.06 wel_61674
13 15 18 -1162.8 wel_61675
13 15 19 -2359.86 wel_61676
13 15 21 -1843.07 wel_61677
4 15 22 -1971.72 wel_61678
13 15 24 -274.552 wel_61679
13 15 26 -1012.31 wel_61680
8 15 27 -253.078 wel_61681
8 15 32 -126.539 wel_61684
1 13 3 -2457.91 wel_62060
1 13 5 -4259.7 wel_62061
1 13 6 -3198.76 wel_62062
4 13 8 -2843.41 wel_62063
13 13 9 -1491.83 wel_62064
13 13 11 -674.225 wel_62065
4 13 13 -2378.07 wel_62066
13 13 14 -2103.47 wel_62067
13 13 16 -1790.59 wel_62068
4 13 18 -1174.85 wel_62069
4 13 19 -1787.57 wel_62070
4 13 21 -3144.18 wel_62071
13 13 22 -928.615 wel_62072
13 13 24 -40.3724 wel_62073
13 13 27 -253.078 wel_62075
13 13 29 -885.772 wel_62076
13 13 30 -253.078 wel_62077
13 13 32 -506.155 wel_62078
1 11 3 -1111.35 wel_62454
1 11 5 -3446.07 wel_62455
1 11 6 -3046.35 wel_62456
4 11 8 -2356.89 wel_62457
4 11 9 -1140.58 wel_62458
4 11 11 -2662.79 wel_62459
4 11 13 -1560.88 wel_62460
13 11 14 -929.128 wel_62461
4 11 16 -322.979 wel_62462
13 11 18 -161.49 wel_62463
13 11 19 -1047.73 wel_62464
4 11 21 -2547.52 wel_62465
13 11 22 -480.467 wel_62466
13 11 26 -126.539 wel_62468
13 11 29 -3163.47 wel_62470
1 10 3 -3669.12 wel_62848
1 10 5 -3566.23 wel_62849
1 10 6 -1707.91 wel_62850
4 10 8 -2211.55 wel_62851
13 10 9 -2868.74 wel_62852
4 10 11 -556.185 wel_62853
13 10 13 -1033.52 wel_62854
13 10 14 -3266.36 wel_62855
13 10 16 -2192.06 wel_62856
13 10 18 -514.785 wel_62857
13 10 19 -458.254 wel_62858
4 10 21 -1023.47 wel_62859
13 10 22 -68.6381 wel_62860
13 10 24 -126.539 wel_62861
13 10 29 -253.078 wel_62864
1 8 3 -3847.8 wel_63242
1 8 5 -2226.75 wel_63243
1 8 6 -3517.81 wel_63244
13 8 8 -1834.97 wel_63245
13 8 9 -1768.43 wel_63246
4 8 11 -1170.8 wel_63247
4 8 13 -1612.99 wel_63248
4 8 14 -1853.23 wel_63249
13 8 16 -446.147 wel_63250
13 8 18 -926.614 wel_63251
13 8 19 -652.062 wel_63252
13 8 24 -253.078 wel_63255
1 7 3 -3253.3 wel_63636
1 7 5 -2611.24 wel_63637
1 7 6 -2202.48 wel_63638
4 7 8 -1887.5 wel_63639
4 7 9 -2481.03 wel_63640
4 7 11 -1269.8 wel_63641
13 7 13 -1441.4 wel_63642
13 7 14 -446.147 wel_63643
13 7 19 -1138.85 wel_63646
13 7 21 -126.539 wel_63647
13 7 22 -253.078 wel_63648
8 7 30 -126.539 wel_63653
1 5 3 -2787.9 wel_64030
1 5 5 -1440.33 wel_64031
1 5 6 -2170.15 wel_64032
13 5 8 -3232.05 wel_64033
13 5 9 -2396.23 wel_64034
13 5 11 -2971.5 wel_64035
13 5 13 -1504.91 wel_64036
13 5 18 -413.935 wel_64039
13 5 24 -253.078 wel_64043
4 5 26 -34.319 wel_64044
4 5 27 -789.338 wel_64045
2 3 3 -1124.82 wel_64424
13 3 5 -1356.55 wel_64425
13 3 6 -2364.43 wel_64426
13 3 8 -1788.59 wel_64427
4 3 9 -522.84 wel_64428
4 3 11 -355.297 wel_64429
13 3 13 -847.87 wel_64430
4 3 19 -1077.95 wel_64434
4 3 21 -2127.68 wel_64435
4 3 22 -575.266 wel_64436
4 3 26 -137.276 wel_64438
4 3 27 -1853.23 wel_64439
13 3 30 -126.539 wel_64441
1 2 3 -1261.76 wel_64818
2 2 5 -1285.92 wel_64819
13 2 6 -904.352 wel_64820
13 2 8 -1514.04 wel_64821
4 2 9 -1162.8 wel_64822
13 2 11 -730.756 wel_64823
13 2 13 -361.351 wel_64824
4 2 19 -2716.54 wel_64828
4 2 21 -2992.53 wel_64829
4 2 22 -892.295 wel_64830
4 2 24 -1020.39 wel_64831
4 2 26 -1224.61 wel_64832
4 2 27 -514.785 wel_64833
4 2 29 -308.871 wel_64834
13 2 32 -253.078 wel_64836
9 3 23 -6445.99 wel_98320
10 4 20 -565.548 wel_98712
9 4 23 -121.332 wel_98714
10 7 9 -570.139 wel_99493
10 9 28 -565.548 wel_99899
