k,i,j,q,boundname,category,laythick,idomain,reason,routine,x,y
3,1,28,-43.549,64834,moved,45.26,1,longest open interval thickness < 10.0 meters minimum or open interval placed well in inactive layer.,mfsetup.wells.assign_layers_from_screen_top_botm,529226,1.20405e+06
12,0,0,-959.553,97912,dropped,0,0,no layer above minimum thickness of 10.0 meters,mfsetup.wells.assign_layers_from_screen_top_botm,501062,1.20486e+06
12,0,1,-1382.13,97913,dropped,0,0,no layer above minimum thickness of 10.0 meters,mfsetup.wells.assign_layers_from_screen_top_botm,502672,1.20486e+06
12,0,3,-384.917,97914,dropped,0,0,no layer above minimum thickness of 10.0 meters,mfsetup.wells.assign_layers_from_screen_top_botm,504281,1.20486e+06
12,0,33,-1070.29,97933,dropped,0,0,no layer above minimum thickness of 10.0 meters,mfsetup.wells.assign_layers_from_screen_top_botm,534859,1.20486e+06
12,1,0,-2830.18,64817,dropped,0,0,no layer above minimum thickness of 10.0 meters,mfsetup.wells.assign_layers_from_screen_top_botm,501867,1.20405e+06
12,1,33,-152.116,64837,dropped,0,0,no layer above minimum thickness of 10.0 meters,mfsetup.wells.assign_layers_from_screen_top_botm,534054,1.20405e+06
12,2,0,-1663.16,98306,dropped,0,0,no layer above minimum thickness of 10.0 meters,mfsetup.wells.assign_layers_from_screen_top_botm,501062,1.20325e+06
12,2,33,-900.89,98327,dropped,0,0,no layer above minimum thickness of 10.0 meters,mfsetup.wells.assign_layers_from_screen_top_botm,534859,1.20325e+06
12,2,34,-48.5784,64444,dropped,0,0,no layer above minimum thickness of 10.0 meters,mfsetup.wells.assign_layers_from_screen_top_botm,535663,1.20244e+06
12,3,0,-1479.9,98700,dropped,0,0,no layer above minimum thickness of 10.0 meters,mfsetup.wells.assign_layers_from_screen_top_botm,501062,1.20164e+06
12,3,33,-1690.6,98721,dropped,0,0,no layer above minimum thickness of 10.0 meters,mfsetup.wells.assign_layers_from_screen_top_botm,534859,1.20164e+06
12,4,0,-3090.65,64029,dropped,0,0,no layer above minimum thickness of 10.0 meters,mfsetup.wells.assign_layers_from_screen_top_botm,501867,1.20083e+06
12,4,33,-83.4004,64049,dropped,0,0,no layer above minimum thickness of 10.0 meters,mfsetup.wells.assign_layers_from_screen_top_botm,534054,1.20083e+06
12,4,34,-83.4004,64050,dropped,0,0,no layer above minimum thickness of 10.0 meters,mfsetup.wells.assign_layers_from_screen_top_botm,535663,1.20083e+06
12,5,0,-744.064,99094,dropped,0,0,no layer above minimum thickness of 10.0 meters,mfsetup.wells.assign_layers_from_screen_top_botm,501062,1.20003e+06
12,5,1,-666.856,99095,dropped,0,0,no layer above minimum thickness of 10.0 meters,mfsetup.wells.assign_layers_from_screen_top_botm,502672,1.20003e+06
12,5,33,0,99115,dropped,0,0,no layer above minimum thickness of 10.0 meters,mfsetup.wells.assign_layers_from_screen_top_botm,534859,1.20003e+06
12,6,0,-1413.54,99488,dropped,0,0,no layer above minimum thickness of 10.0 meters,mfsetup.wells.assign_layers_from_screen_top_botm,501062,1.19842e+06
12,6,1,-1247.28,99489,dropped,0,0,no layer above minimum thickness of 10.0 meters,mfsetup.wells.assign_layers_from_screen_top_botm,502672,1.19842e+06
12,6,33,-489.796,99509,dropped,0,0,no layer above minimum thickness of 10.0 meters,mfsetup.wells.assign_layers_from_screen_top_botm,534859,1.19842e+06
12,7,0,-1873.58,63241,dropped,0,0,no layer above minimum thickness of 10.0 meters,mfsetup.wells.assign_layers_from_screen_top_botm,501867,1.19762e+06
12,8,0,-2731.09,99882,dropped,0,0,no layer above minimum thickness of 10.0 meters,mfsetup.wells.assign_layers_from_screen_top_botm,501062,1.19681e+06
12,8,1,-2769.3,99883,dropped,0,0,no layer above minimum thickness of 10.0 meters,mfsetup.wells.assign_layers_from_screen_top_botm,502672,1.19681e+06
12,8,33,-465.28,99903,dropped,0,0,no layer above minimum thickness of 10.0 meters,mfsetup.wells.assign_layers_from_screen_top_botm,534859,1.19681e+06
12,9,0,-6835.28,62847,dropped,0,0,no layer above minimum thickness of 10.0 meters,mfsetup.wells.assign_layers_from_screen_top_botm,501867,1.19601e+06
12,10,0,-1040.77,100276,dropped,0,0,no layer above minimum thickness of 10.0 meters,mfsetup.wells.assign_layers_from_screen_top_botm,501062,1.1952e+06
12,10,1,-1285.44,100277,dropped,0,0,no layer above minimum thickness of 10.0 meters,mfsetup.wells.assign_layers_from_screen_top_botm,502672,1.1952e+06
12,10,33,0,100297,dropped,0,0,no layer above minimum thickness of 10.0 meters,mfsetup.wells.assign_layers_from_screen_top_botm,534859,1.1952e+06
12,11,0,-286.816,100670,dropped,0,0,no layer above minimum thickness of 10.0 meters,mfsetup.wells.assign_layers_from_screen_top_botm,501062,1.19359e+06
12,11,1,-1574.81,100671,dropped,0,0,no layer above minimum thickness of 10.0 meters,mfsetup.wells.assign_layers_from_screen_top_botm,502672,1.19359e+06
12,11,33,-398.666,100691,dropped,0,0,no layer above minimum thickness of 10.0 meters,mfsetup.wells.assign_layers_from_screen_top_botm,534859,1.19359e+06
12,12,0,-3504.93,62059,dropped,0,0,no layer above minimum thickness of 10.0 meters,mfsetup.wells.assign_layers_from_screen_top_botm,501867,1.19279e+06
12,12,33,-422.754,62079,dropped,0,0,no layer above minimum thickness of 10.0 meters,mfsetup.wells.assign_layers_from_screen_top_botm,534054,1.19279e+06
12,12,34,-1336.75,62080,dropped,0,0,no layer above minimum thickness of 10.0 meters,mfsetup.wells.assign_layers_from_screen_top_botm,535663,1.19279e+06
12,13,0,-1302.87,101064,dropped,0,0,no layer above minimum thickness of 10.0 meters,mfsetup.wells.assign_layers_from_screen_top_botm,501062,1.19198e+06
12,13,1,-795.709,101065,dropped,0,0,no layer above minimum thickness of 10.0 meters,mfsetup.wells.assign_layers_from_screen_top_botm,502672,1.19198e+06
