rno,node,k,i,j,iseg,ireach,rchlen,width,slope,strtop,strthick,strhc1,thts,thti,eps,uhc,outreach,outseg,asum,line_id,name
1,15,3,0,15,1,1,238.65036,3.2725706,1e-05,37.721343994140625,1,1.0,0.0,0.0,0.0,0.0,2,3,-2.3678362,17955471,Dugan Bayou
2,50,3,1,15,1,2,1232.5746,3.3227568,1e-05,37.721343994140625,1,1.0,0.0,0.0,0.0,0.0,3,3,-1.6322238,17955471,Dugan Bayou
3,85,3,2,15,1,3,221.97884,3.3723743,0.0006762751673633403,37.721343994140625,1,1.0,0.0,0.0,0.0,0.0,7,3,-0.90494716,17955471,Dugan Bayou
4,11,3,0,11,2,1,211.93591,17.5827,1e-05,35.34654998779297,1,1.0,0.0,0.0,0.0,0.0,5,4,-2.8936136,17955445,None
5,10,3,0,10,2,2,855.2023,17.594402,1e-05,35.34654998779297,1,1.0,0.0,0.0,0.0,0.0,6,4,-2.3600445,17955445,None
6,45,3,1,10,2,3,1161.7445,17.616518,1e-05,35.34654998779297,1,1.0,0.0,0.0,0.0,0.0,9,4,-1.3515711,17955445,None
7,84,3,2,14,3,1,273.1395,3.6709416,0.0014236985900811672,37.57122521963332,1,3.6978097,0.0,0.0,0.0,0.0,8,5,-1.1222705,17957799,Dugan Bayou
8,119,3,3,14,3,2,434.40228,3.6928697,0.0012277144122020236,37.18235690449675,1,1.0,0.0,0.0,0.0,0.0,11,5,-0.7684996,17957799,Dugan Bayou
9,80,3,2,10,4,1,232.6385,17.647764,1e-05,35.34654998779297,1,4.3109727,0.0,0.0,0.0,0.0,10,6,-1.8011441,17957809,None
10,81,3,2,11,4,2,519.1943,17.65295,0.00013010671042625274,35.34654998779297,1,1.0,0.0,0.0,0.0,0.0,13,6,-1.4252278,17957809,None
11,118,3,3,13,5,1,676.10504,3.8968096,0.00048418248520825573,36.64903496131428,1,1.7791216,0.0,0.0,0.0,0.0,12,8,-0.5657817,17955535,Dugan Bayou
12,117,3,3,12,5,2,75.25044,3.918937,0.014949631954028517,36.321676742057086,1,1.0,0.0,0.0,0.0,0.0,15,8,-0.19010398,17955535,Dugan Bayou
13,116,3,3,11,6,1,160.85802,17.71065,0.0005115629791610755,35.27899932861328,1,8.227481,0.0,0.0,0.0,0.0,15,8,-0.4190491,17955543,None
14,145,0,4,5,7,1,324.39023,19.475733,1e-05,32.91991424560547,1,1.0,0.0,0.0,0.0,0.0,20,9,-0.66820574,17979087,None
15,152,3,4,12,8,1,179.52443,18.50274,0.00047068428917892453,35.196710322231304,1,5.615583,0.0,0.0,0.0,0.0,16,10,-3.7033567,17955663,Dugan Bayou
16,151,3,4,11,8,2,849.74255,18.509525,0.00012688249215120172,35.11221099382596,1,1.1696916,0.0,0.0,0.0,0.0,17,10,-3.188723,17955663,Dugan Bayou
