#k i j head boundname
1 11 25 290.994 perimeter-heads
1 12 25 290.402 perimeter-heads
1 13 25 290.334 perimeter-heads
1 18 25 289.108 perimeter-heads
2 1 25 298.509 perimeter-heads
2 2 25 297.86 perimeter-heads
2 3 25 297.069 perimeter-heads
2 4 25 296.417 perimeter-heads
2 5 25 295.808 perimeter-heads
2 6 25 295.144 perimeter-heads
2 7 25 294.294 perimeter-heads
2 8 25 293.289 perimeter-heads
2 9 25 292.409 perimeter-heads
2 10 25 291.635 perimeter-heads
2 11 25 291 perimeter-heads
2 12 25 290.437 perimeter-heads
2 13 25 290.34 perimeter-heads
2 14 25 290.202 perimeter-heads
2 15 25 290.015 perimeter-heads
2 16 25 289.765 perimeter-heads
2 17 25 289.457 perimeter-heads
2 18 25 289.11 perimeter-heads
2 19 25 288.821 perimeter-heads
2 21 25 288.158 perimeter-heads
2 24 25 286.927 perimeter-heads
2 25 25 286.447 perimeter-heads
2 25 22 287.784 perimeter-heads
2 25 23 287.25 perimeter-heads
2 1 18 303.465 perimeter-heads
2 1 19 302.532 perimeter-heads
2 1 20 301.853 perimeter-heads
2 1 21 301.18 perimeter-heads
2 1 22 300.477 perimeter-heads
2 1 23 299.836 perimeter-heads
2 1 24 299.143 perimeter-heads
3 1 25 298.496 perimeter-heads
3 2 25 297.841 perimeter-heads
3 3 25 297.079 perimeter-heads
3 4 25 296.42 perimeter-heads
3 5 25 295.797 perimeter-heads
3 6 25 295.12 perimeter-heads
3 7 25 294.27 perimeter-heads
3 8 25 293.29 perimeter-heads
3 9 25 292.421 perimeter-heads
3 10 25 291.656 perimeter-heads
3 11 25 291.012 perimeter-heads
3 12 25 290.505 perimeter-heads
3 13 25 290.352 perimeter-heads
3 14 25 290.19 perimeter-heads
3 15 25 289.989 perimeter-heads
3 16 25 289.743 perimeter-heads
3 17 25 289.446 perimeter-heads
3 18 25 289.114 perimeter-heads
3 19 25 288.82 perimeter-heads
3 20 25 288.528 perimeter-heads
3 21 25 288.139 perimeter-heads
3 22 25 287.772 perimeter-heads
3 23 25 287.365 perimeter-heads
3 24 25 286.927 perimeter-heads
3 25 25 286.456 perimeter-heads
3 1 1 313.586 perimeter-heads
3 2 1 313.308 perimeter-heads
3 3 1 312.717 perimeter-heads
3 4 1 312.513 perimeter-heads
3 5 1 312.285 perimeter-heads
3 6 1 312.082 perimeter-heads
3 7 1 311.868 perimeter-heads
3 8 1 311.624 perimeter-heads
3 25 18 290.804 perimeter-heads
3 25 19 289.359 perimeter-heads
3 25 20 288.859 perimeter-heads
3 25 21 288.262 perimeter-heads
3 25 22 287.78 perimeter-heads
3 25 23 287.253 perimeter-heads
3 25 24 286.891 perimeter-heads
3 1 2 312.961 perimeter-heads
3 1 3 312.63 perimeter-heads
3 1 4 312.306 perimeter-heads
3 1 5 311.961 perimeter-heads
3 1 6 311.612 perimeter-heads
3 1 7 311.222 perimeter-heads
3 1 8 310.786 perimeter-heads
3 1 9 310.264 perimeter-heads
3 1 10 309.7 perimeter-heads
3 1 11 309.12 perimeter-heads
3 1 12 308.513 perimeter-heads
3 1 13 307.819 perimeter-heads
3 1 14 306.99 perimeter-heads
3 1 15 306.122 perimeter-heads
3 1 16 305.231 perimeter-heads
3 1 17 304.355 perimeter-heads
3 1 18 303.465 perimeter-heads
3 1 19 302.567 perimeter-heads
3 1 20 301.866 perimeter-heads
3 1 21 301.183 perimeter-heads
3 1 22 300.481 perimeter-heads
3 1 23 299.826 perimeter-heads
3 1 24 299.142 perimeter-heads
4 1 25 298.482 perimeter-heads
4 2 25 297.823 perimeter-heads
4 3 25 297.089 perimeter-heads
4 4 25 296.423 perimeter-heads
4 5 25 295.788 perimeter-heads
4 6 25 295.095 perimeter-heads
4 7 25 294.247 perimeter-heads
4 8 25 293.288 perimeter-heads
4 9 25 292.436 perimeter-heads
4 10 25 291.682 perimeter-heads
4 11 25 291.036 perimeter-heads
4 12 25 290.583 perimeter-heads
4 13 25 290.376 perimeter-heads
4 14 25 290.186 perimeter-heads
4 15 25 289.971 perimeter-heads
4 16 25 289.726 perimeter-heads
4 17 25 289.439 perimeter-heads
4 18 25 289.121 perimeter-heads
4 19 25 288.821 perimeter-heads
4 20 25 288.513 perimeter-heads
4 21 25 288.14 perimeter-heads
4 22 25 287.768 perimeter-heads
4 23 25 287.361 perimeter-heads
4 24 25 286.929 perimeter-heads
4 25 25 286.467 perimeter-heads
4 1 1 313.492 perimeter-heads
4 2 1 313.163 perimeter-heads
4 3 1 312.67 perimeter-heads
4 4 1 312.503 perimeter-heads
4 5 1 312.275 perimeter-heads
4 6 1 312.078 perimeter-heads
4 7 1 311.867 perimeter-heads
4 8 1 311.631 perimeter-heads
4 9 1 311.414 perimeter-heads
4 10 1 311.194 perimeter-heads
4 11 1 310.972 perimeter-heads
4 12 1 310.712 perimeter-heads
4 13 1 310.412 perimeter-heads
4 14 1 310.079 perimeter-heads
4 15 1 309.708 perimeter-heads
4 25 13 295.736 perimeter-heads
4 25 14 294.726 perimeter-heads
4 25 15 293.794 perimeter-heads
4 25 16 292.868 perimeter-heads
4 25 17 291.914 perimeter-heads
4 25 18 290.803 perimeter-heads
4 25 19 289.359 perimeter-heads
4 25 20 288.868 perimeter-heads
4 25 21 288.276 perimeter-heads
4 25 22 287.793 perimeter-heads
4 25 23 287.272 perimeter-heads
4 25 24 286.905 perimeter-heads
4 1 2 312.921 perimeter-heads
4 1 3 312.622 perimeter-heads
4 1 4 312.295 perimeter-heads
4 1 5 311.95 perimeter-heads
4 1 6 311.598 perimeter-heads
4 1 7 311.21 perimeter-heads
4 1 8 310.777 perimeter-heads
4 1 9 310.254 perimeter-heads
4 1 10 309.68 perimeter-heads
4 1 11 309.107 perimeter-heads
4 1 12 308.497 perimeter-heads
4 1 13 307.812 perimeter-heads
4 1 14 306.984 perimeter-heads
4 1 15 306.107 perimeter-heads
4 1 16 305.224 perimeter-heads
4 1 17 304.357 perimeter-heads
4 1 18 303.47 perimeter-heads
4 1 19 302.605 perimeter-heads
4 1 20 301.881 perimeter-heads
4 1 21 301.187 perimeter-heads
4 1 22 300.484 perimeter-heads
4 1 23 299.815 perimeter-heads
4 1 24 299.14 perimeter-heads
5 1 25 298.456 perimeter-heads
5 2 25 297.797 perimeter-heads
5 3 25 297.108 perimeter-heads
5 4 25 296.424 perimeter-heads
5 5 25 295.734 perimeter-heads
5 6 25 294.995 perimeter-heads
5 7 25 294.183 perimeter-heads
5 8 25 293.321 perimeter-heads
5 9 25 292.483 perimeter-heads
5 10 25 291.78 perimeter-heads
5 11 25 291.186 perimeter-heads
5 12 25 290.724 perimeter-heads
5 13 25 290.441 perimeter-heads
5 14 25 290.212 perimeter-heads
5 15 25 289.976 perimeter-heads
5 16 25 289.718 perimeter-heads
5 17 25 289.443 perimeter-heads
5 18 25 289.151 perimeter-heads
5 19 25 288.849 perimeter-heads
5 20 25 288.526 perimeter-heads
5 21 25 288.173 perimeter-heads
5 22 25 287.801 perimeter-heads
5 23 25 287.406 perimeter-heads
5 24 25 287 perimeter-heads
5 25 25 286.605 perimeter-heads
5 1 1 313.446 perimeter-heads
5 2 1 313.165 perimeter-heads
5 3 1 312.863 perimeter-heads
5 4 1 312.591 perimeter-heads
5 5 1 312.344 perimeter-heads
5 6 1 312.097 perimeter-heads
5 7 1 311.845 perimeter-heads
5 8 1 311.585 perimeter-heads
5 9 1 311.323 perimeter-heads
5 10 1 311.058 perimeter-heads
5 11 1 310.788 perimeter-heads
5 12 1 310.506 perimeter-heads
5 13 1 310.207 perimeter-heads
5 14 1 309.886 perimeter-heads
5 15 1 309.543 perimeter-heads
5 16 1 309.183 perimeter-heads
5 17 1 308.819 perimeter-heads
5 18 1 308.449 perimeter-heads
5 19 1 308.102 perimeter-heads
5 20 1 307.706 perimeter-heads
5 21 1 307.296 perimeter-heads
5 22 1 306.857 perimeter-heads
5 23 1 306.428 perimeter-heads
5 24 1 305.955 perimeter-heads
5 25 1 305.469 perimeter-heads
5 25 2 304.879 perimeter-heads
5 25 3 304.261 perimeter-heads
5 25 4 303.632 perimeter-heads
5 25 5 302.954 perimeter-heads
5 25 6 302.251 perimeter-heads
5 25 7 301.46 perimeter-heads
5 25 8 300.575 perimeter-heads
5 25 9 299.675 perimeter-heads
5 25 10 298.754 perimeter-heads
5 25 11 297.78 perimeter-heads
5 25 12 296.813 perimeter-heads
5 25 13 295.857 perimeter-heads
5 25 14 294.879 perimeter-heads
5 25 15 293.903 perimeter-heads
5 25 16 292.926 perimeter-heads
5 25 17 291.962 perimeter-heads
5 25 18 291.038 perimeter-heads
5 25 19 290.167 perimeter-heads
5 25 20 289.526 perimeter-heads
5 25 21 288.893 perimeter-heads
5 25 22 288.278 perimeter-heads
5 25 23 287.682 perimeter-heads
5 25 24 287.135 perimeter-heads
5 1 2 313.02 perimeter-heads
5 1 3 312.658 perimeter-heads
5 1 4 312.308 perimeter-heads
5 1 5 311.944 perimeter-heads
5 1 6 311.556 perimeter-heads
5 1 7 311.135 perimeter-heads
5 1 8 310.672 perimeter-heads
5 1 9 310.159 perimeter-heads
5 1 10 309.601 perimeter-heads
5 1 11 309.008 perimeter-heads
5 1 12 308.368 perimeter-heads
5 1 13 307.669 perimeter-heads
5 1 14 306.897 perimeter-heads
5 1 15 306.081 perimeter-heads
5 1 16 305.239 perimeter-heads
5 1 17 304.382 perimeter-heads
5 1 18 303.526 perimeter-heads
5 1 19 302.697 perimeter-heads
5 1 20 301.933 perimeter-heads
5 1 21 301.209 perimeter-heads
5 1 22 300.502 perimeter-heads
5 1 23 299.815 perimeter-heads
5 1 24 299.133 perimeter-heads
