#rno k i j rlen rwid rgrd rtp rbth rhk man ncon ustrf ndv line_id
1 4 1 16 238.65036 3.276387912353553 1e-05 37.721343994140625 1 1.0 0.03700000047683716 1 1.0 0 17955471
2 4 2 16 1232.5746 3.3501068987337916 1e-05 37.721343994140625 1 1.0 0.03700000047683716 2 1.0 0 17955471
3 4 3 16 221.97884 3.4229905268411045 0.0006762751673633403 37.721343994140625 1 1.0 0.03700000047683716 2 1.0 0 17955471
4 4 1 12 211.93591 17.58350317636023 1e-05 35.34654998779297 1 1.0 0.03700000047683716 1 1.0 0 17955445
5 4 1 11 855.2023 17.599250766884268 1e-05 35.34654998779297 1 1.0 0.03700000047683716 2 1.0 0 17955445
6 4 2 11 1161.7445 17.62901453540929 1e-05 35.34654998779297 1 1.0 0.03700000047683716 2 1.0 0 17955445
7 4 3 15 273.1395 3.67753740949413 0.0014236985900811672 37.57122521963332 1 3.6978097 0.03700000047683716 2 1.0 0 17957799
8 4 4 15 434.40228 3.716551151211969 0.0012277144122020236 37.18235690449675 1 1.0 0.03700000047683716 2 1.0 0 17957799
9 4 3 11 232.6385 17.650251762881993 1e-05 35.34654998779297 1 4.3109727 0.03700000047683716 2 1.0 0 17957809
10 4 3 12 519.1943 17.663481132730684 0.00013010671042625274 35.34654998779297 1 1.0 0.03700000047683716 2 1.0 0 17957809
11 4 4 14 676.10504 3.9008501839427376 0.00048418248520825573 36.64903496131428 1 1.7791216 0.03700000047683716 2 1.0 0 17955535
12 4 4 13 75.25044 3.9274681856256817 0.014949631954028517 36.321676742057086 1 1.0 0.03700000047683716 2 1.0 0 17955535
13 4 4 12 160.85802 17.71297836303711 0.0005115629791610755 35.27899932861328 1 8.227481 0.03700000047683716 2 1.0 0 17955543
14 1 5 6 324.39023 19.478910446166992 1e-05 32.91991424560547 1 1.0 0.03700000047683716 1 1.0 0 17979087
15 4 5 13 179.52443 18.50274143031257 0.00047068428917892453 35.196710322231304 1 5.615583 0.03700000047683716 3 1.0 0 17955663
16 4 5 12 849.74255 18.50952464633874 0.00012688249215120172 35.11221099382596 1 1.1696916 0.03700000047683716 2 1.0 0 17955663
17 4 6 12 463.55713 18.51817973376045 0.0002830865803015984 35.00439354092419 1 1.0 0.03700000047683716 2 1.0 0 17955663
18 4 6 11 1134.8866 18.52871401569946 0.00016639873235323543 34.873166738527694 1 1.0 0.03700000047683716 2 1.0 0 17955663
19 4 7 11 1165.3746 18.54387351549384 0.000489956322295624 34.684323047475516 1 1.0 0.03700000047683716 2 1.0 0 17955663
20 1 5 5 640.0313 19.535054206848145 1e-05 32.91991424560547 1 1.7884132 0.03700000047683716 2 1.0 0 17979475
21 4 8 11 136.09346 18.558022499084473 0.003645929861584584 34.11334037780762 1 1.0 0.03700000047683716 2 1.0 0 17955689
22 1 5 4 1021.2361 19.64309024810791 1e-05 32.91991424560547 1 1.0 0.03700000047683716 2 1.0 0 17979089
23 4 8 10 254.3504 18.794034004211426 0.0001072699905528795 33.61715316772461 1 3.839421 0.03700000047683716 2 1.0 0 17955739
24 1 6 4 521.1865 19.813499450683594 1e-05 32.91991424560547 1 2.68151 0.03700000047683716 2 1.0 0 17958139
25 4 10 23 636.6879 4.025290823125452 1e-05 38.27274703979492 1 1.0 0.03700000047683716 1 1.0 0 17955893
26 4 9 22 395.87054 4.05953388458497 1e-05 38.27274703979492 1 1.0 0.03700000047683716 2 1.0 0 17955893
27 4 10 22 1108.653 4.109428879741285 1e-05 38.27274703979492 1 1.0 0.03700000047683716 2 1.0 0 17955893
28 4 11 22 227.21962 4.153730844312427 1e-05 38.27274703979492 1 1.0 0.03700000047683716 2 1.0 0 17955893
29 4 11 21 1150.314 4.199414430220111 3.1871549347538644e-05 38.27274703979492 1 1.0 0.03700000047683716 2 1.0 0 17955893
30 4 9 10 577.2553 18.829474818510686 2.174803385097867e-05 33.589869002415696 1 1.2658509 0.03700000047683716 2 1.0 0 938030572
31 4 9 11 553.964 18.838264834210737 0.0001461910426161766 33.577314834391885 1 1.0 0.03700000047683716 2 1.0 0 938030572
32 1 7 3 400.04425 19.847163685141346 1e-05 32.91991424560547 1 2.0976317 0.03700000047683716 2 1.0 0 17958153
33 1 7 4 82.16827 19.852218871944693 1e-05 32.91991424560547 1 6.473733 0.03700000047683716 2 1.0 0 17958153
34 1 8 4 1804.2799 19.871995107701395 1e-05 32.91991424560547 1 1.0 0.03700000047683716 2 1.0 0 17958153
35 1 9 4 68.28311 19.891625779298522 1e-05 32.91991424560547 1 1.0 0.03700000047683716 2 1.0 0 17958153
36 4 11 20 656.8548 4.355591082231878 0.00014810626945322986 38.23608475149924 1 1.9064517 0.03700000047683716 2 1.0 0 17955879
37 4 10 19 1086.1262 4.419168016727362 0.000550872539012579 38.13880043788931 1 1.0 0.03700000047683716 2 1.0 0 17955879
38 4 10 11 1053.5045 18.990619659423828 2.0576058444245636e-05 33.49633026123047 1 1.2811897 0.03700000047683716 2 1.0 0 17955835
