#k i j q boundname
10 12 23 -565.548 wel_100684
9 12 30 -121.332 wel_100688
9 14 31 -121.332 wel_101083
9 14 33 -121.332 wel_101084
10 15 13 -565.548 wel_101466
10 15 20 -1252.43 wel_101470
9 20 23 -121.332 wel_102654
10 22 4 -570.139 wel_103036
10 22 13 -1131.1 wel_103042
7 27 4 -151.686 wel_104218
7 27 7 -106.18 wel_104220
10 27 17 -1696.64 wel_104226
9 28 4 -120.502 wel_104612
7 28 17 -1483.88 wel_104620
10 28 22 -565.548 wel_104623
1 27 3 -6.85366 wel_58514
13 27 16 -27.4146 wel_58522
4 27 18 -6.85366 wel_58523
4 27 30 -13.7073 wel_58531
13 27 32 -41.1219 wel_58532
4 26 18 -6.85366 wel_58917
13 26 19 -34.2683 wel_58918
13 26 22 -6.85366 wel_58920
13 26 29 -13.7073 wel_58924
13 26 30 -6.85366 wel_58925
13 24 21 -20.561 wel_59313
13 24 32 -6.85366 wel_59320
13 23 27 -6.85366 wel_59711
1 21 9 -6.85366 wel_60094
13 21 32 -6.85366 wel_60108
13 19 16 -13.7073 wel_60492
13 19 24 -27.4146 wel_60497
13 19 26 -13.7073 wel_60498
4 19 32 -41.1219 wel_60502
4 18 14 -41.1219 wel_60885
4 18 16 -34.2683 wel_60886
4 18 18 -13.7073 wel_60887
13 18 24 -54.8292 wel_60891
13 18 30 -27.4146 wel_60895
13 18 32 -6.85366 wel_60896
4 16 14 -89.0975 wel_61279
4 16 16 -390.658 wel_61280
13 16 18 -41.1219 wel_61281
13 16 24 -6.85366 wel_61285
13 16 26 -13.7073 wel_61286
13 16 29 -6.85366 wel_61288
4 15 16 -13.7073 wel_61674
4 15 22 -27.4146 wel_61678
13 15 24 -6.85366 wel_61679
13 15 26 -68.5366 wel_61680
8 15 27 -6.85366 wel_61681
13 13 22 -6.85366 wel_62072
13 13 27 -34.2683 wel_62075
13 13 29 -54.8292 wel_62076
13 13 30 -54.8292 wel_62077
13 13 32 -20.561 wel_62078
13 11 19 -6.85366 wel_62464
13 11 27 -61.6829 wel_62469
13 11 29 -61.6829 wel_62470
13 10 24 -6.85366 wel_62861
13 10 26 -34.2683 wel_62862
13 10 27 -6.85366 wel_62863
13 10 29 -13.7073 wel_62864
13 8 24 -6.85366 wel_63255
13 7 19 -54.8292 wel_63646
13 7 22 -6.85366 wel_63648
13 7 26 -13.7073 wel_63650
8 7 30 -6.85366 wel_63653
13 5 24 -13.7073 wel_64043
2 3 3 -27.4146 wel_64424
13 2 32 -13.7073 wel_64836
9 3 23 -6445.99 wel_98320
10 4 20 -565.548 wel_98712
9 4 23 -121.332 wel_98714
10 7 9 -570.139 wel_99493
10 9 28 -565.548 wel_99899
