#k i j q boundname
3 11 4 -1721.01 wel_100278
3 11 5 -2591.02 wel_100279
4 11 7 -1061.24 wel_100280
4 11 9 -1419.54 wel_100281
4 11 10 -815.381 wel_100282
4 11 12 -2210.91 wel_100283
4 11 13 -770.26 wel_100284
4 11 15 -1828.45 wel_100285
4 11 17 -582.156 wel_100286
4 11 18 -1153.25 wel_100287
4 11 20 -1261.96 wel_100288
4 11 22 -747.287 wel_100289
4 11 23 -705.284 wel_100290
4 11 25 -1447.52 wel_100291
4 11 26 -1757.93 wel_100292
4 11 28 -1571.93 wel_100293
4 11 30 -611.349 wel_100294
4 11 31 -1076.54 wel_100295
4 11 33 -15.1212 wel_100296
3 12 4 -2891.44 wel_100672
3 12 5 -694.35 wel_100673
4 12 7 -1610.31 wel_100674
4 12 9 -1464.62 wel_100675
4 12 10 -1398.58 wel_100676
4 12 12 -2206.44 wel_100677
4 12 13 -3672.6 wel_100678
4 12 15 -1114.34 wel_100679
4 12 17 0 wel_100680
4 12 18 0 wel_100681
4 12 20 -688.581 wel_100682
4 12 22 -680.724 wel_100683
6 12 23 -846.184 wel_100684
4 12 25 -1507.29 wel_100685
4 12 26 -1349.37 wel_100686
4 12 28 -668.936 wel_100687
4 12 30 -1978.01 wel_100688
4 12 31 -218.436 wel_100689
4 12 33 -61.81 wel_100690
3 14 4 -1284.17 wel_101066
3 14 5 -1765.88 wel_101067
3 14 7 -897.613 wel_101068
4 14 9 -1026.02 wel_101069
4 14 10 -1132.82 wel_101070
4 14 12 -2512.8 wel_101071
4 14 13 -2238.06 wel_101072
4 14 15 -968.511 wel_101073
4 14 17 0 wel_101074
4 14 18 0 wel_101075
4 14 20 -465.838 wel_101076
4 14 22 -798.22 wel_101077
4 14 23 -1321.92 wel_101078
4 14 25 -974.514 wel_101079
4 14 26 -281.826 wel_101080
4 14 28 -40.7763 wel_101081
4 14 30 -3.41501 wel_101082
8 14 31 -963.467 wel_101083
9 14 33 -147.496 wel_101084
3 15 4 -1171.43 wel_101460
3 15 5 -1720.83 wel_101461
3 15 7 -1110.51 wel_101462
4 15 9 -3773.42 wel_101463
4 15 10 -1525.07 wel_101464
4 15 12 -536.981 wel_101465
5 15 13 -1996.27 wel_101466
4 15 15 -1285.5 wel_101467
4 15 17 -1521.87 wel_101468
4 15 18 -729.512 wel_101469
4 15 20 -1844.69 wel_101470
4 15 22 -818.482 wel_101471
4 15 23 -1307.81 wel_101472
4 15 25 -829.917 wel_101473
4 15 26 0 wel_101474
4 15 28 0 wel_101475
4 15 30 -399.737 wel_101476
4 15 31 -625.157 wel_101477
4 15 33 -300.731 wel_101478
3 17 4 -1807.4 wel_101854
3 17 5 -1762.35 wel_101855
3 17 7 -2303.54 wel_101856
4 17 9 -1637.54 wel_101857
4 17 10 -3399.67 wel_101858
4 17 12 -2289.31 wel_101859
4 17 13 -2181.69 wel_101860
4 17 15 -3343.86 wel_101861
4 17 17 -1526.61 wel_101862
4 17 18 -1931.91 wel_101863
4 17 20 -982.06 wel_101864
4 17 22 -2072.25 wel_101865
4 17 23 -1320.1 wel_101866
4 17 25 -715.249 wel_101867
4 17 26 -240.925 wel_101868
4 17 28 0 wel_101869
4 17 30 -413.021 wel_101870
4 17 31 -519.493 wel_101871
4 17 33 -442.428 wel_101872
3 19 4 -2354.77 wel_102248
3 19 5 -1524.58 wel_102249
3 19 7 -1614.5 wel_102250
3 19 9 -2918.73 wel_102251
3 19 10 -3764.29 wel_102252
4 19 12 -2430.85 wel_102253
4 19 13 -995.39 wel_102254
4 19 15 -1559.18 wel_102255
4 19 17 -558.474 wel_102256
4 19 18 -1932.91 wel_102257
4 19 20 -952.035 wel_102258
4 19 22 -1729.87 wel_102259
4 19 23 -1495.84 wel_102260
4 19 25 -807.376 wel_102261
4 19 26 -1048.5 wel_102262
4 19 28 -935.501 wel_102263
4 19 30 -725.328 wel_102264
4 19 31 -569.667 wel_102265
4 19 33 -330.531 wel_102266
3 20 4 -1055.73 wel_102642
3 20 5 -1487.69 wel_102643
3 20 7 -2113.52 wel_102644
3 20 9 -1157.83 wel_102645
3 20 10 -2710.97 wel_102646
4 20 12 -1174.7 wel_102647
4 20 13 -1143.29 wel_102648
4 20 15 -1178.77 wel_102649
4 20 17 -1493.66 wel_102650
4 20 18 -2436.47 wel_102651
4 20 20 -2244.65 wel_102652
4 20 22 -1945.26 wel_102653
6 20 23 -741.968 wel_102654
4 20 25 -929.138 wel_102655
4 20 26 -1226.47 wel_102656
4 20 28 -504.635 wel_102657
4 20 30 -1143.92 wel_102658
4 20 31 -1197.33 wel_102659
4 20 33 -1059.47 wel_102660
3 22 4 -2157.73 wel_103036
3 22 5 -2773.79 wel_103037
3 22 7 -4300.56 wel_103038
3 22 9 -1472.69 wel_103039
3 22 10 -2158.84 wel_103040
4 22 12 -1661.17 wel_103041
4 22 13 -3643.4 wel_103042
4 22 15 -3973.74 wel_103043
4 22 17 -427.644 wel_103044
4 22 18 -3717.02 wel_103045
4 22 20 -6246.14 wel_103046
4 22 22 -2260.39 wel_103047
4 22 23 -912.673 wel_103048
4 22 25 -2488.07 wel_103049
4 22 26 -1390.54 wel_103050
4 22 28 -1851.73 wel_103051
4 22 30 -772.629 wel_103052
4 22 31 -692.28 wel_103053
4 22 33 -77.8317 wel_103054
3 23 4 -2145.57 wel_103430
3 23 5 -3539.59 wel_103431
3 23 7 -2486.49 wel_103432
3 23 9 -2167.54 wel_103433
3 23 10 -2398.79 wel_103434
4 23 12 -2189.72 wel_103435
4 23 13 -1571.78 wel_103436
4 23 15 -2128.19 wel_103437
4 23 17 -398.666 wel_103438
4 23 18 -3296.2 wel_103439
4 23 20 -1277.08 wel_103440
4 23 22 -1320.62 wel_103441
4 23 23 -864.167 wel_103442
4 23 25 -2347.09 wel_103443
4 23 26 -1218.57 wel_103444
4 23 28 -1305.42 wel_103445
4 23 30 -1568.48 wel_103446
4 23 31 -1384.86 wel_103447
4 23 33 -201.135 wel_103448
3 25 4 -2641.01 wel_103824
3 25 5 -2857.63 wel_103825
3 25 7 -2605.44 wel_103826
3 25 9 -3325.05 wel_103827
3 25 10 -3226.83 wel_103828
3 25 12 -2286.23 wel_103829
3 25 13 -2972.14 wel_103830
4 25 15 -2803.65 wel_103831
4 25 17 -2916.53 wel_103832
4 25 18 -2446.08 wel_103833
4 25 20 -596.911 wel_103834
4 25 22 -1795.27 wel_103835
4 25 23 -3908.1 wel_103836
