total_inner_iterations,totim,kper,kstp,nouter,inner_iterations,solution_outer_dvmax,solution_outer_dvmax_model,solution_outer_dvmax_package,solution_outer_dvmax_node
10,1.000000000000000,1,1,1,10,17.96394338375243,1,,285
22,1.000000000000000,1,1,2,12,2.113585378536527,1,,3618
30,1.000000000000000,1,1,3,8,.4383004820992937,1,,817
34,1.000000000000000,1,1,4,4,.9579222405425014E-01,1,,817
41,30.00377423524343,2,1,1,7,1.179587063562444,1,,249
46,30.00377423524343,2,1,2,5,.2222571243988227,1,,779
49,30.00377423524343,2,1,3,3,-1113.237003189849,1,SFR_0,123
51,30.00377423524343,2,1,4,2,-97.72930797903238,1,SFR_0,123
52,30.00377423524343,2,1,5,1,-7.611705677692545,1,SFR_0,123
53,30.00377423524343,2,1,6,1,-.7360785635258784,1,SFR_0,123
54,30.00377423524343,2,1,7,1,-.9218398472989426,1,SFR_0,123
55,30.00377423524343,2,1,8,1,-.4203543206834617,1,SFR_0,123
56,30.00377423524343,2,1,9,1,-.1466428973184491,1,SFR_0,123
57,30.00377423524343,2,1,10,1,-.1533172380225774,1,SFR_0,123
58,30.00377423524343,2,1,11,1,-.2043929522201577E-01,1,SFR_0,123
63,73.50943558810857,2,2,1,5,-.2628329388312807,1,,742
65,73.50943558810857,2,2,2,2,307.2179763736088,1,SFR_0,69
66,73.50943558810857,2,2,3,1,76.99292216306857,1,SFR_0,123
67,73.50943558810857,2,2,4,1,16.78988085049090,1,SFR_0,123
68,73.50943558810857,2,2,5,1,3.923762226001589,1,SFR_0,123
69,73.50943558810857,2,2,6,1,1.088150274531551,1,SFR_0,123
70,73.50943558810857,2,2,7,1,.6066851926185386,1,SFR_0,123
71,73.50943558810857,2,2,8,1,.4086899938145012,1,SFR_0,123
72,73.50943558810857,2,2,9,1,.1510703788844750,1,SFR_0,123
73,73.50943558810857,2,2,10,1,.8268775603583249E-01,1,SFR_0,123
78,138.7679276174063,2,3,1,5,-.2539626783845321,1,,777
80,138.7679276174063,2,3,2,2,490.5586143252577,1,SFR_0,69
81,138.7679276174063,2,3,3,1,130.2551587741031,1,SFR_0,123
82,138.7679276174063,2,3,4,1,28.32752257095007,1,SFR_0,123
83,138.7679276174063,2,3,5,1,6.595834667881645,1,SFR_0,123
84,138.7679276174063,2,3,6,1,2.651105639481089,1,SFR_0,123
85,138.7679276174063,2,3,7,1,1.472680350930879,1,SFR_0,123
86,138.7679276174063,2,3,8,1,.6853671996458637,1,SFR_0,123
87,138.7679276174063,2,3,9,1,.4393218206149902,1,SFR_0,123
88,138.7679276174063,2,3,10,1,.1681290078374925,1,SFR_0,123
89,138.7679276174063,2,3,11,1,.7017982444483412E-01,1,SFR_0,123
94,236.6556656613529,2,4,1,5,-.2719149044722684,1,,777
97,236.6556656613529,2,4,2,3,767.2336460836345,1,SFR_0,69
98,236.6556656613529,2,4,3,1,184.8291094677523,1,SFR_0,123
99,236.6556656613529,2,4,4,1,37.38743749257454,1,SFR_0,123
100,236.6556656613529,2,4,5,1,8.487756462630042,1,SFR_0,123
101,236.6556656613529,2,4,6,1,2.929516263335768,1,SFR_0,123
102,236.6556656613529,2,4,7,1,1.260556694721128,1,SFR_0,123
103,236.6556656613529,2,4,8,1,.7012220199747790,1,SFR_0,123
104,236.6556656613529,2,4,9,1,.5402953675371718,1,SFR_0,123
105,236.6556656613529,2,4,10,1,.4279155301861721,1,SFR_0,123
106,236.6556656613529,2,4,11,1,.2341956434257137,1,SFR_0,123
107,236.6556656613529,2,4,12,1,.8345412052490318E-01,1,SFR_0,123
112,383.4872727272727,2,5,1,5,-.2712583450662009,1,,812
114,383.4872727272727,2,5,2,2,1039.681602102428,1,SFR_0,69
115,383.4872727272727,2,5,3,1,219.5347214574619,1,SFR_0,123
116,383.4872727272727,2,5,4,1,52.51083718399174,1,SFR_0,123
117,383.4872727272727,2,5,5,1,15.45454413484763,1,SFR_0,123
118,383.4872727272727,2,5,6,1,7.441460880692035,1,SFR_0,123
119,383.4872727272727,2,5,7,1,2.248251862606066,1,SFR_0,123
120,383.4872727272727,2,5,8,1,1.450534557205171,1,SFR_0,123
121,383.4872727272727,2,5,9,1,1.213381655672297,1,SFR_0,123
122,383.4872727272727,2,5,10,1,.7962092172124616,1,SFR_0,123
123,383.4872727272727,2,5,11,1,.1603147306866842,1,SFR_0,123
124,383.4872727272727,2,5,12,1,.1358765103524541,1,SFR_0,123
