#k i j head boundname
1 11 25 290.822 perimeter-heads
1 12 25 290.246 perimeter-heads
1 13 25 290.149 perimeter-heads
1 18 25 288.912 perimeter-heads
1 25 23 287.141 perimeter-heads
2 1 25 298.225 perimeter-heads
2 2 25 297.576 perimeter-heads
2 3 25 296.788 perimeter-heads
2 4 25 296.145 perimeter-heads
2 5 25 295.549 perimeter-heads
2 6 25 294.908 perimeter-heads
2 7 25 294.087 perimeter-heads
2 8 25 293.101 perimeter-heads
2 9 25 292.229 perimeter-heads
2 10 25 291.458 perimeter-heads
2 11 25 290.829 perimeter-heads
2 12 25 290.28 perimeter-heads
2 13 25 290.156 perimeter-heads
2 14 25 290.002 perimeter-heads
2 15 25 289.804 perimeter-heads
2 16 25 289.552 perimeter-heads
2 17 25 289.249 perimeter-heads
2 18 25 288.915 perimeter-heads
2 19 25 288.644 perimeter-heads
2 21 25 287.999 perimeter-heads
2 24 25 286.743 perimeter-heads
2 25 25 286.264 perimeter-heads
2 25 19 289.304 perimeter-heads
2 25 20 288.763 perimeter-heads
2 25 21 288.15 perimeter-heads
2 25 22 287.67 perimeter-heads
2 25 23 287.139 perimeter-heads
2 1 18 303.311 perimeter-heads
2 1 19 302.32 perimeter-heads
2 1 20 301.617 perimeter-heads
2 1 21 300.926 perimeter-heads
2 1 22 300.208 perimeter-heads
2 1 23 299.56 perimeter-heads
2 1 24 298.863 perimeter-heads
3 1 25 298.213 perimeter-heads
3 2 25 297.558 perimeter-heads
3 3 25 296.798 perimeter-heads
3 4 25 296.149 perimeter-heads
3 5 25 295.54 perimeter-heads
3 6 25 294.884 perimeter-heads
3 7 25 294.064 perimeter-heads
3 8 25 293.105 perimeter-heads
3 9 25 292.248 perimeter-heads
3 10 25 291.484 perimeter-heads
3 11 25 290.843 perimeter-heads
3 12 25 290.345 perimeter-heads
3 13 25 290.169 perimeter-heads
3 14 25 289.992 perimeter-heads
3 15 25 289.781 perimeter-heads
3 16 25 289.533 perimeter-heads
3 17 25 289.241 perimeter-heads
3 18 25 288.92 perimeter-heads
3 19 25 288.644 perimeter-heads
3 20 25 288.368 perimeter-heads
3 21 25 287.988 perimeter-heads
3 22 25 287.615 perimeter-heads
3 23 25 287.211 perimeter-heads
3 24 25 286.745 perimeter-heads
