#k i j head boundname
1 11 25 290.481 perimeter-heads
1 12 25 289.959 perimeter-heads
1 13 25 289.82 perimeter-heads
1 18 25 288.582 perimeter-heads
1 25 23 286.959 perimeter-heads
2 1 25 297.788 perimeter-heads
2 2 25 297.139 perimeter-heads
2 3 25 296.334 perimeter-heads
2 4 25 295.691 perimeter-heads
2 5 25 295.102 perimeter-heads
2 6 25 294.475 perimeter-heads
2 7 25 293.674 perimeter-heads
2 8 25 292.694 perimeter-heads
2 9 25 291.829 perimeter-heads
2 10 25 291.082 perimeter-heads
2 11 25 290.49 perimeter-heads
2 12 25 289.988 perimeter-heads
2 13 25 289.827 perimeter-heads
2 14 25 289.651 perimeter-heads
2 15 25 289.446 perimeter-heads
2 16 25 289.198 perimeter-heads
2 17 25 288.905 perimeter-heads
2 18 25 288.587 perimeter-heads
2 19 25 288.341 perimeter-heads
2 24 25 286.505 perimeter-heads
2 25 25 285.998 perimeter-heads
2 25 19 289.192 perimeter-heads
2 25 21 287.983 perimeter-heads
2 25 22 287.511 perimeter-heads
2 25 23 286.962 perimeter-heads
2 1 18 303.043 perimeter-heads
2 1 19 301.983 perimeter-heads
2 1 20 301.248 perimeter-heads
2 1 21 300.538 perimeter-heads
2 1 22 299.803 perimeter-heads
2 1 23 299.147 perimeter-heads
2 1 24 298.434 perimeter-heads
3 1 25 297.774 perimeter-heads
3 2 25 297.119 perimeter-heads
3 3 25 296.346 perimeter-heads
3 4 25 295.695 perimeter-heads
3 5 25 295.094 perimeter-heads
3 6 25 294.453 perimeter-heads
3 7 25 293.651 perimeter-heads
3 8 25 292.699 perimeter-heads
3 9 25 291.851 perimeter-heads
3 10 25 291.111 perimeter-heads
3 11 25 290.505 perimeter-heads
3 12 25 290.044 perimeter-heads
3 13 25 289.842 perimeter-heads
3 14 25 289.645 perimeter-heads
3 15 25 289.428 perimeter-heads
3 16 25 289.184 perimeter-heads
3 17 25 288.9 perimeter-heads
3 18 25 288.595 perimeter-heads
3 19 25 288.344 perimeter-heads
3 20 25 288.107 perimeter-heads
3 21 25 287.76 perimeter-heads
3 22 25 287.401 perimeter-heads
3 23 25 286.985 perimeter-heads
3 24 25 286.506 perimeter-heads
3 25 25 286.011 perimeter-heads
3 1 1 312.582 perimeter-heads
3 2 1 312.315 perimeter-heads
3 3 1 311.952 perimeter-heads
3 4 1 311.779 perimeter-heads
3 5 1 311.563 perimeter-heads
3 6 1 311.34 perimeter-heads
3 7 1 311.111 perimeter-heads
3 25 18 290.547 perimeter-heads
3 25 19 289.192 perimeter-heads
3 25 20 288.591 perimeter-heads
3 25 21 287.985 perimeter-heads
3 25 22 287.511 perimeter-heads
3 25 23 286.967 perimeter-heads
3 25 24 286.492 perimeter-heads
3 1 2 312.241 perimeter-heads
3 1 3 312.042 perimeter-heads
3 1 4 311.796 perimeter-heads
3 1 5 311.509 perimeter-heads
3 1 6 311.199 perimeter-heads
3 1 7 310.839 perimeter-heads
3 1 8 310.423 perimeter-heads
3 1 9 309.918 perimeter-heads
3 1 10 309.364 perimeter-heads
3 1 11 308.799 perimeter-heads
3 1 12 308.199 perimeter-heads
3 1 13 307.516 perimeter-heads
3 1 14 306.693 perimeter-heads
3 1 15 305.813 perimeter-heads
3 1 16 304.902 perimeter-heads
3 1 17 303.992 perimeter-heads
3 1 18 303.042 perimeter-heads
3 1 19 302.025 perimeter-heads
3 1 20 301.264 perimeter-heads
3 1 21 300.542 perimeter-heads
3 1 22 299.809 perimeter-heads
3 1 23 299.137 perimeter-heads
3 1 24 298.434 perimeter-heads
4 1 25 297.759 perimeter-heads
4 2 25 297.099 perimeter-heads
4 3 25 296.357 perimeter-heads
4 4 25 295.7 perimeter-heads
4 5 25 295.086 perimeter-heads
4 6 25 294.431 perimeter-heads
4 7 25 293.63 perimeter-heads
4 8 25 292.704 perimeter-heads
4 9 25 291.878 perimeter-heads
4 10 25 291.149 perimeter-heads
4 11 25 290.535 perimeter-heads
4 12 25 290.11 perimeter-heads
4 13 25 289.868 perimeter-heads
4 14 25 289.649 perimeter-heads
4 15 25 289.42 perimeter-heads
4 16 25 289.176 perimeter-heads
4 17 25 288.901 perimeter-heads
4 18 25 288.607 perimeter-heads
4 19 25 288.349 perimeter-heads
4 20 25 288.091 perimeter-heads
4 21 25 287.754 perimeter-heads
4 22 25 287.396 perimeter-heads
4 23 25 286.981 perimeter-heads
4 24 25 286.509 perimeter-heads
4 25 25 286.027 perimeter-heads
4 1 1 312.548 perimeter-heads
4 2 1 312.259 perimeter-heads
4 3 1 311.906 perimeter-heads
4 4 1 311.755 perimeter-heads
4 5 1 311.537 perimeter-heads
4 6 1 311.314 perimeter-heads
4 7 1 311.089 perimeter-heads
4 8 1 310.826 perimeter-heads
4 9 1 310.519 perimeter-heads
4 10 1 310.217 perimeter-heads
4 11 1 309.919 perimeter-heads
4 12 1 309.605 perimeter-heads
4 13 1 309.276 perimeter-heads
4 14 1 308.941 perimeter-heads
4 25 13 295.314 perimeter-heads
4 25 14 294.357 perimeter-heads
4 25 15 293.463 perimeter-heads
4 25 16 292.548 perimeter-heads
4 25 17 291.625 perimeter-heads
4 25 18 290.546 perimeter-heads
4 25 19 289.192 perimeter-heads
4 25 20 288.598 perimeter-heads
4 25 21 287.995 perimeter-heads
4 25 22 287.52 perimeter-heads
4 25 23 286.979 perimeter-heads
4 25 24 286.511 perimeter-heads
4 1 2 312.21 perimeter-heads
4 1 3 312.017 perimeter-heads
4 1 4 311.77 perimeter-heads
4 1 5 311.485 perimeter-heads
4 1 6 311.177 perimeter-heads
4 1 7 310.821 perimeter-heads
4 1 8 310.411 perimeter-heads
4 1 9 309.906 perimeter-heads
