lakeno,cellid,claktype,bedleak,belev,telev,connlen,connwidth,zone,iconn
1,"(np.int64(0), np.int64(36), np.int64(53))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,0
1,"(np.int64(0), np.int64(40), np.int64(41))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,1
1,"(np.int64(0), np.int64(29), np.int64(50))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,2
1,"(np.int64(0), np.int64(40), np.int64(50))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,3
1,"(np.int64(0), np.int64(41), np.int64(33))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,4
1,"(np.int64(0), np.int64(44), np.int64(29))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,5
1,"(np.int64(0), np.int64(41), np.int64(42))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,6
1,"(np.int64(2), np.int64(33), np.int64(38))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,7
1,"(np.int64(0), np.int64(41), np.int64(51))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,8
1,"(np.int64(0), np.int64(33), np.int64(47))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,9
1,"(np.int64(1), np.int64(44), np.int64(47))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,10
1,"(np.int64(0), np.int64(45), np.int64(30))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,11
1,"(np.int64(0), np.int64(37), np.int64(35))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,12
1,"(np.int64(0), np.int64(36), np.int64(48))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,13
1,"(np.int64(0), np.int64(40), np.int64(36))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,14
1,"(np.int64(0), np.int64(40), np.int64(45))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,15
1,"(np.int64(0), np.int64(40), np.int64(54))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,16
1,"(np.int64(0), np.int64(41), np.int64(37))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,17
1,"(np.int64(1), np.int64(33), np.int64(33))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,18
1,"(np.int64(0), np.int64(44), np.int64(33))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,19
1,"(np.int64(0), np.int64(33), np.int64(42))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,20
1,"(np.int64(0), np.int64(44), np.int64(51))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,21
1,"(np.int64(0), np.int64(36), np.int64(34))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,22
