#k i j q boundname
1 28 15 -0 perimeter-fluxes
1 9 5 -100.145 perimeter-fluxes
1 10 4 -106.704 perimeter-fluxes
1 11 4 -123.513 perimeter-fluxes
1 12 4 -138.192 perimeter-fluxes
1 13 4 -166.899 perimeter-fluxes
1 14 4 -141.301 perimeter-fluxes
1 15 4 -181.84 perimeter-fluxes
1 16 4 -152.746 perimeter-fluxes
1 17 5 -174.059 perimeter-fluxes
1 18 5 -176.902 perimeter-fluxes
1 19 5 -158.228 perimeter-fluxes
1 20 5 -163.769 perimeter-fluxes
1 21 5 -143.954 perimeter-fluxes
1 22 5 -118.88 perimeter-fluxes
1 23 5 -101.408 perimeter-fluxes
1 24 5 -99.9278 perimeter-fluxes
1 25 5 -119.507 perimeter-fluxes
1 26 5 -124.909 perimeter-fluxes
1 27 10 -403.786 perimeter-fluxes
1 28 11 0 perimeter-fluxes
1 16 4 -170.335 perimeter-fluxes
1 26 5 -125.427 perimeter-fluxes
1 26 6 -116.801 perimeter-fluxes
1 26 7 -91.898 perimeter-fluxes
1 26 8 -69.3384 perimeter-fluxes
1 26 9 -59.1244 perimeter-fluxes
1 27 10 -0 perimeter-fluxes
1 28 11 -0 perimeter-fluxes
1 28 12 -0 perimeter-fluxes
1 28 13 -0 perimeter-fluxes
1 28 14 -0 perimeter-fluxes
1 28 15 -0 perimeter-fluxes
1 9 5 274.055 perimeter-fluxes
1 9 6 235.602 perimeter-fluxes
1 10 4 252.7 perimeter-fluxes
2 9 6 -0 perimeter-fluxes
2 28 15 -0 perimeter-fluxes
2 9 5 -119.396 perimeter-fluxes
2 10 4 -98.6586 perimeter-fluxes
2 11 4 -109.479 perimeter-fluxes
2 12 4 -119.732 perimeter-fluxes
2 13 4 -126.303 perimeter-fluxes
2 14 4 -129.223 perimeter-fluxes
2 15 4 -136.184 perimeter-fluxes
2 16 4 -128.132 perimeter-fluxes
2 17 5 -156.964 perimeter-fluxes
2 18 5 -148.782 perimeter-fluxes
2 19 5 -143.429 perimeter-fluxes
2 20 5 -141.476 perimeter-fluxes
2 21 5 -130.807 perimeter-fluxes
2 22 5 -119.029 perimeter-fluxes
2 23 5 -107.417 perimeter-fluxes
2 24 5 -104.892 perimeter-fluxes
