k,i,j,per,q,boundname,cellid,reason,routine
0,1,2,2,-2780.65,shellmound_0-1-2,"(0, 1, 2)",in inactive cell,mfsetup.wells.setup_wel_data
0,4,2,2,-3683.47,shellmound_0-4-2,"(0, 4, 2)",in inactive cell,mfsetup.wells.setup_wel_data
0,4,4,2,-2235.52,shellmound_0-4-4,"(0, 4, 4)",in inactive cell,mfsetup.wells.setup_wel_data
0,4,5,2,-3308.07,shellmound_0-4-5,"(0, 4, 5)",in inactive cell,mfsetup.wells.setup_wel_data
0,6,2,2,-2379.63,shellmound_0-6-2,"(0, 6, 2)",in inactive cell,mfsetup.wells.setup_wel_data
0,6,4,2,-847.425,shellmound_0-6-4,"(0, 6, 4)",in inactive cell,mfsetup.wells.setup_wel_data
0,6,5,2,-7916.91,shellmound_0-6-5,"(0, 6, 5)",in inactive cell,mfsetup.wells.setup_wel_data
0,7,2,2,-3256.68,shellmound_0-7-2,"(0, 7, 2)",in inactive cell,mfsetup.wells.setup_wel_data
0,7,4,2,-1040.38,shellmound_0-7-4,"(0, 7, 4)",in inactive cell,mfsetup.wells.setup_wel_data
0,9,2,2,-9715.91,shellmound_0-9-2,"(0, 9, 2)",in inactive cell,mfsetup.wells.setup_wel_data
0,10,2,2,-2055.29,shellmound_0-10-2,"(0, 10, 2)",in inactive cell,mfsetup.wells.setup_wel_data
0,12,2,2,-2642.96,shellmound_0-12-2,"(0, 12, 2)",in inactive cell,mfsetup.wells.setup_wel_data
0,14,2,2,-6772.58,shellmound_0-14-2,"(0, 14, 2)",in inactive cell,mfsetup.wells.setup_wel_data
0,15,2,2,-3959.98,shellmound_0-15-2,"(0, 15, 2)",in inactive cell,mfsetup.wells.setup_wel_data
0,17,2,2,-5136.92,shellmound_0-17-2,"(0, 17, 2)",in inactive cell,mfsetup.wells.setup_wel_data
0,18,2,2,-2569.12,shellmound_0-18-2,"(0, 18, 2)",in inactive cell,mfsetup.wells.setup_wel_data
0,20,2,2,-1798.38,shellmound_0-20-2,"(0, 20, 2)",in inactive cell,mfsetup.wells.setup_wel_data
0,22,2,2,-1169.61,shellmound_0-22-2,"(0, 22, 2)",in inactive cell,mfsetup.wells.setup_wel_data
0,23,2,2,-1351.2,shellmound_0-23-2,"(0, 23, 2)",in inactive cell,mfsetup.wells.setup_wel_data
0,25,2,2,-1180.29,shellmound_0-25-2,"(0, 25, 2)",in inactive cell,mfsetup.wells.setup_wel_data
0,26,2,2,-1176.37,shellmound_0-26-2,"(0, 26, 2)",in inactive cell,mfsetup.wells.setup_wel_data
0,26,4,2,-959.338,shellmound_0-26-4,"(0, 26, 4)",in inactive cell,mfsetup.wells.setup_wel_data
0,26,5,2,-1722.55,shellmound_0-26-5,"(0, 26, 5)",in inactive cell,mfsetup.wells.setup_wel_data
0,26,7,2,-4919.89,shellmound_0-26-7,"(0, 26, 7)",in inactive cell,mfsetup.wells.setup_wel_data
0,26,8,2,-5658.76,shellmound_0-26-8,"(0, 26, 8)",in inactive cell,mfsetup.wells.setup_wel_data
1,1,4,2,-366.402,shellmound_1-1-4,"(1, 1, 4)",in inactive cell,mfsetup.wells.setup_wel_data
1,2,2,2,-1547.47,shellmound_1-2-2,"(1, 2, 2)",in inactive cell,mfsetup.wells.setup_wel_data
2,0,3,1,-384.917,shellmound_2-0-3,"(2, 0, 3)",in inactive cell,mfsetup.wells.setup_wel_data
2,0,4,1,-908.468,shellmound_2-0-4,"(2, 0, 4)",in inactive cell,mfsetup.wells.setup_wel_data
2,2,3,1,-694.152,shellmound_2-2-3,"(2, 2, 3)",in inactive cell,mfsetup.wells.setup_wel_data
2,2,4,1,-1508.88,shellmound_2-2-4,"(2, 2, 4)",in inactive cell,mfsetup.wells.setup_wel_data
2,3,3,1,-974.668,shellmound_2-3-3,"(2, 3, 3)",in inactive cell,mfsetup.wells.setup_wel_data
2,3,4,1,-1152.95,shellmound_2-3-4,"(2, 3, 4)",in inactive cell,mfsetup.wells.setup_wel_data
2,5,3,1,-1218.73,shellmound_2-5-3,"(2, 5, 3)",in inactive cell,mfsetup.wells.setup_wel_data
2,5,4,1,-1272.36,shellmound_2-5-4,"(2, 5, 4)",in inactive cell,mfsetup.wells.setup_wel_data
2,6,3,1,-1416.58,shellmound_2-6-3,"(2, 6, 3)",in inactive cell,mfsetup.wells.setup_wel_data
2,6,4,1,-2256.93,shellmound_2-6-4,"(2, 6, 4)",in inactive cell,mfsetup.wells.setup_wel_data
2,8,3,1,-765.8,shellmound_2-8-3,"(2, 8, 3)",in inactive cell,mfsetup.wells.setup_wel_data
2,16,3,1,-1807.4,shellmound_2-16-3,"(2, 16, 3)",in inactive cell,mfsetup.wells.setup_wel_data
2,18,3,1,-2354.77,shellmound_2-18-3,"(2, 18, 3)",in inactive cell,mfsetup.wells.setup_wel_data
2,19,3,1,-1055.73,shellmound_2-19-3,"(2, 19, 3)",in inactive cell,mfsetup.wells.setup_wel_data
2,21,3,1,-2157.73,shellmound_2-21-3,"(2, 21, 3)",in inactive cell,mfsetup.wells.setup_wel_data
2,22,3,1,-2145.57,shellmound_2-22-3,"(2, 22, 3)",in inactive cell,mfsetup.wells.setup_wel_data
2,24,3,1,-2641.01,shellmound_2-24-3,"(2, 24, 3)",in inactive cell,mfsetup.wells.setup_wel_data
2,26,3,1,-1421.72,shellmound_2-26-3,"(2, 26, 3)",in inactive cell,mfsetup.wells.setup_wel_data
2,26,4,1,-2118.53,shellmound_2-26-4,"(2, 26, 4)",in inactive cell,mfsetup.wells.setup_wel_data
2,26,6,1,-2431.55,shellmound_2-26-6,"(2, 26, 6)",in inactive cell,mfsetup.wells.setup_wel_data
2,26,8,1,-4920.73,shellmound_2-26-8,"(2, 26, 8)",in inactive cell,mfsetup.wells.setup_wel_data
3,0,6,1,-1063.94,shellmound_3-0-6,"(3, 0, 6)",in inactive cell,mfsetup.wells.setup_wel_data
3,0,8,1,-1588.63,shellmound_3-0-8,"(3, 0, 8)",in inactive cell,mfsetup.wells.setup_wel_data
3,0,9,1,-2282.21,shellmound_3-0-9,"(3, 0, 9)",in inactive cell,mfsetup.wells.setup_wel_data
3,0,11,1,-1293.3,shellmound_3-0-11,"(3, 0, 11)",in inactive cell,mfsetup.wells.setup_wel_data
3,0,12,1,-1043.84,shellmound_3-0-12,"(3, 0, 12)",in inactive cell,mfsetup.wells.setup_wel_data
3,0,14,1,-1123.09,shellmound_3-0-14,"(3, 0, 14)",in inactive cell,mfsetup.wells.setup_wel_data
3,0,16,1,-2090.44,shellmound_3-0-16,"(3, 0, 16)",in inactive cell,mfsetup.wells.setup_wel_data
3,0,17,1,-801.072,shellmound_3-0-17,"(3, 0, 17)",in inactive cell,mfsetup.wells.setup_wel_data
3,0,19,1,-599.224,shellmound_3-0-19,"(3, 0, 19)",in inactive cell,mfsetup.wells.setup_wel_data
3,0,21,1,-593.681,shellmound_3-0-21,"(3, 0, 21)",in inactive cell,mfsetup.wells.setup_wel_data
3,0,22,1,-1167.14,shellmound_3-0-22,"(3, 0, 22)",in inactive cell,mfsetup.wells.setup_wel_data
3,0,24,1,-379.147,shellmound_3-0-24,"(3, 0, 24)",in inactive cell,mfsetup.wells.setup_wel_data
3,0,25,1,-2890.55,shellmound_3-0-25,"(3, 0, 25)",in inactive cell,mfsetup.wells.setup_wel_data
