rno,node,k,i,j,iseg,ireach,rchlen,width,slope,strtop,strthick,strhc1,thts,thti,eps,uhc,outreach,outseg,asum,line_id,name
1,119,3,3,14,1,1,434.40228,3.67967,0.0008951802220718208,37.5499681562128,1,1.0,0.0,0.0,0.0,0.0,2,2,-0.7684996,17957799,Dugan Bayou
2,118,3,3,13,1,2,551.29846,3.7186837,0.0008386924846704132,37.16109982430362,1,1.0,0.0,0.0,0.0,0.0,3,2,-0.27564922,17957799,Dugan Bayou
3,118,3,3,13,2,1,676.10504,3.8968096,0.0004024998685119952,36.69872994748594,1,1.0,0.0,0.0,0.0,0.0,4,3,-0.5657817,17955535,Dugan Bayou
4,117,3,3,12,2,2,75.25044,3.918937,0.001096085051116566,36.42659775718032,1,1.0,0.0,0.0,0.0,0.0,5,3,-0.19010398,17955535,Dugan Bayou
5,152,3,4,12,2,3,152.47874,3.9256437,0.003692920879042497,36.34411687206081,1,1.0,0.0,0.0,0.0,0.0,6,3,-0.07623938,17955535,Dugan Bayou
6,152,3,4,12,3,1,258.42383,4.0393624,0.0020846416853408205,35.78102493286133,1,1.0,0.0,0.0,0.0,0.0,8,5,-0.12921192,17955537,Dugan Bayou
7,116,3,3,11,4,1,1165.6306,17.659388,0.0001,35.34654998779297,1,1.0,0.0,0.0,0.0,0.0,9,6,-0.58281535,17957809,None
8,152,3,4,12,5,1,564.0291,18.367369,0.0001,35.2423038482666,1,1.0,0.0,0.0,0.0,0.0,12,7,-0.28201455,17955541,Dugan Bayou
9,116,3,3,11,6,1,160.85802,17.71065,0.00026192779204551507,35.32479515075523,1,1.0,0.0,0.0,0.0,0.0,10,7,-0.4190491,17955543,None
10,151,3,4,11,6,2,150.68007,17.712791,0.0003039275500649309,35.28266196553804,1,1.0,0.0,0.0,0.0,0.0,11,7,-0.26328006,17955543,None
11,152,3,4,12,6,3,187.94003,17.71512,0.00021366293529338293,35.236866141332456,1,1.0,0.0,0.0,0.0,0.0,12,7,-0.093970016,17955543,None
12,152,3,4,12,7,1,179.52443,18.50274,0.00047068428917892453,35.196710322231304,1,1.0,0.0,0.0,0.0,0.0,13,8,-3.7033567,17955663,Dugan Bayou
13,151,3,4,11,7,2,849.74255,18.509525,0.00012688249215120172,35.11221099382596,1,1.0,0.0,0.0,0.0,0.0,14,8,-3.188723,17955663,Dugan Bayou
14,186,3,5,11,7,3,463.55713,18.518179,0.0002830865803015984,35.00439354092419,1,1.0,0.0,0.0,0.0,0.0,15,8,-2.5320733,17955663,Dugan Bayou
15,185,3,5,10,7,4,1134.8866,18.528713,0.00016639873235323543,34.873166738527694,1,1.0,0.0,0.0,0.0,0.0,16,8,-1.7328515,17955663,Dugan Bayou
16,220,3,6,10,7,5,1165.3746,18.543873,0.00022907447507224444,34.684323047475516,1,1.0,0.0,0.0,0.0,0.0,17,8,-0.5827209,17955663,Dugan Bayou
17,255,3,7,10,8,1,136.09346,18.556557,0.0034925216278133423,34.41736546497778,1,1.0,0.0,0.0,0.0,0.0,18,9,-0.30960906,17955689,None
18,254,3,7,9,8,2,241.56232,18.559044,0.0012585783672015636,33.94205611223392,1,1.0,0.0,0.0,0.0,0.0,19,9,-0.12078116,17955689,None
19,254,3,7,9,9,1,489.6241,18.563858,0.0001,33.638031005859375,1,1.0,0.0,0.0,0.0,0.0,20,10,-0.24481206,17955711,None
20,254,3,7,9,10,1,254.3504,18.793036,0.0001,33.625018278212785,1,1.0,0.0,0.0,0.0,0.0,21,11,-0.28090885,17955739,Rattlesnake Bayou
21,289,3,8,9,10,2,153.73366,18.795687,0.0001,33.60414044007802,1,1.0,0.0,0.0,0.0,0.0,22,11,-0.07686683,17955739,Rattlesnake Bayou
22,289,3,8,9,11,1,577.2553,18.828735,0.0001,33.590926750834925,1,1.0,0.0,0.0,0.0,0.0,23,13,-1.0663044,938030572,Rattlesnake Bayou
23,290,3,8,10,11,2,553.964,18.836073,0.0001,33.58044540098305,1,1.0,0.0,0.0,0.0,0.0,24,13,-0.50069475,938030572,Rattlesnake Bayou
24,325,3,9,10,11,3,223.71275,18.841118,0.00015852815337921196,33.57323980934023,1,1.0,0.0,0.0,0.0,0.0,31,13,-0.11185638,938030572,Rattlesnake Bayou
