#k i j q boundname
1 28 15 -0 perimeter-fluxes
1 9 5 -45.0418 perimeter-fluxes
1 10 4 39.4756 perimeter-fluxes
1 11 4 178.248 perimeter-fluxes
1 12 4 48.334 perimeter-fluxes
1 13 4 201.972 perimeter-fluxes
1 14 4 59.9802 perimeter-fluxes
1 15 4 197.758 perimeter-fluxes
1 16 4 206.731 perimeter-fluxes
1 17 5 -105.422 perimeter-fluxes
1 18 5 -347.421 perimeter-fluxes
1 19 5 -281.068 perimeter-fluxes
1 20 5 -63.2089 perimeter-fluxes
1 21 5 19.5751 perimeter-fluxes
1 22 5 78.4304 perimeter-fluxes
1 23 5 270.518 perimeter-fluxes
1 24 5 170.79 perimeter-fluxes
1 25 5 174.096 perimeter-fluxes
1 26 5 367.796 perimeter-fluxes
1 27 10 -283.796 perimeter-fluxes
1 28 11 0 perimeter-fluxes
1 16 4 -70.4277 perimeter-fluxes
1 26 5 0.746572 perimeter-fluxes
1 26 6 120.87 perimeter-fluxes
1 26 7 -56.7586 perimeter-fluxes
1 26 8 -123.253 perimeter-fluxes
1 26 9 -119.209 perimeter-fluxes
1 27 10 -0 perimeter-fluxes
1 28 11 -0 perimeter-fluxes
1 28 12 -0 perimeter-fluxes
1 28 13 -0 perimeter-fluxes
1 28 14 -0 perimeter-fluxes
1 28 15 -0 perimeter-fluxes
1 9 5 382.551 perimeter-fluxes
1 9 6 238.569 perimeter-fluxes
1 10 4 117.531 perimeter-fluxes
2 9 6 -0 perimeter-fluxes
2 28 15 -0 perimeter-fluxes
2 9 5 -52.3878 perimeter-fluxes
2 10 4 38.929 perimeter-fluxes
2 11 4 175.596 perimeter-fluxes
2 12 4 49.8628 perimeter-fluxes
2 13 4 211.606 perimeter-fluxes
2 14 4 59.7873 perimeter-fluxes
2 15 4 206.016 perimeter-fluxes
2 16 4 204.26 perimeter-fluxes
2 17 5 -101.005 perimeter-fluxes
2 18 5 -302.107 perimeter-fluxes
2 19 5 -258.298 perimeter-fluxes
2 20 5 -59.3932 perimeter-fluxes
2 21 5 19.7808 perimeter-fluxes
2 22 5 75.9788 perimeter-fluxes
2 23 5 246.496 perimeter-fluxes
2 24 5 159.787 perimeter-fluxes
2 25 5 176.796 perimeter-fluxes
2 26 5 353.282 perimeter-fluxes
2 27 10 -281.422 perimeter-fluxes
2 28 11 0 perimeter-fluxes
2 16 4 -71.1105 perimeter-fluxes
2 26 5 0.499398 perimeter-fluxes
2 26 6 119.662 perimeter-fluxes
2 26 7 -58.0517 perimeter-fluxes
2 26 8 -127.402 perimeter-fluxes
2 26 9 -118.427 perimeter-fluxes
2 27 10 -0 perimeter-fluxes
2 28 11 -0 perimeter-fluxes
2 28 12 -0 perimeter-fluxes
2 28 13 -0 perimeter-fluxes
2 28 14 -0 perimeter-fluxes
2 28 15 -0 perimeter-fluxes
2 9 5 309.284 perimeter-fluxes
2 9 6 223.338 perimeter-fluxes
2 10 4 115.629 perimeter-fluxes
3 9 6 -0 perimeter-fluxes
3 28 15 -0 perimeter-fluxes
3 9 5 -52.4866 perimeter-fluxes
3 10 4 38.0256 perimeter-fluxes
3 11 4 174 perimeter-fluxes
3 12 4 49.9098 perimeter-fluxes
3 13 4 209.635 perimeter-fluxes
3 14 4 59.7337 perimeter-fluxes
3 15 4 204.479 perimeter-fluxes
3 16 4 202.723 perimeter-fluxes
3 17 5 -101.128 perimeter-fluxes
