per,k,i,j,q,boundname
2,0,10,4,-7900.5435,shellmound_0-10-4
3,0,10,4,-2.156908,shellmound_0-10-4
4,0,10,4,-5734.9575,shellmound_0-10-4
6,0,10,4,-8517.2705,shellmound_0-10-4
8,0,10,4,-9900.845,shellmound_0-10-4
10,0,10,4,-7925.561,shellmound_0-10-4
12,0,10,4,-8408.573,shellmound_0-10-4
14,0,10,4,-6262.879,shellmound_0-10-4
16,0,10,4,-3258.2468,shellmound_0-10-4
18,0,10,4,-3446.075,shellmound_0-10-4
2,0,10,5,-4389.7056,shellmound_0-10-5
4,0,10,5,-2154.731,shellmound_0-10-5
6,0,10,5,-6421.558,shellmound_0-10-5
8,0,10,5,-4871.909,shellmound_0-10-5
10,0,10,5,-8020.98,shellmound_0-10-5
12,0,10,5,-4022.3784,shellmound_0-10-5
14,0,10,5,-3487.7546,shellmound_0-10-5
16,0,10,5,-3617.8958,shellmound_0-10-5
18,0,10,5,-3046.35,shellmound_0-10-5
2,0,12,4,-8261.359,shellmound_0-12-4
4,0,12,4,-6668.71,shellmound_0-12-4
6,0,12,4,-9103.53,shellmound_0-12-4
8,0,12,4,-8907.534,shellmound_0-12-4
10,0,12,4,-7076.159,shellmound_0-12-4
12,0,12,4,-7516.456,shellmound_0-12-4
14,0,12,4,-5273.7275,shellmound_0-12-4
16,0,12,4,-4187.027,shellmound_0-12-4
18,0,12,4,-4259.6953,shellmound_0-12-4
2,0,12,5,-3335.9001,shellmound_0-12-5
4,0,12,5,-4873.6675,shellmound_0-12-5
6,0,12,5,-5044.109,shellmound_0-12-5
8,0,12,5,-7565.251,shellmound_0-12-5
10,0,12,5,-7713.2676,shellmound_0-12-5
12,0,12,5,-5758.074,shellmound_0-12-5
14,0,12,5,-2416.666,shellmound_0-12-5
16,0,12,5,-3302.4104,shellmound_0-12-5
18,0,12,5,-3198.7588,shellmound_0-12-5
2,0,14,4,-6761.0605,shellmound_0-14-4
4,0,14,4,-5570.917,shellmound_0-14-4
6,0,14,4,-4406.623,shellmound_0-14-4
8,0,14,4,-8988.009,shellmound_0-14-4
10,0,14,4,-7783.9463,shellmound_0-14-4
12,0,14,4,-7707.5776,shellmound_0-14-4
14,0,14,4,-5836.1274,shellmound_0-14-4
16,0,14,4,-4654.6436,shellmound_0-14-4
18,0,14,4,-4495.87,shellmound_0-14-4
2,0,14,5,-6888.5283,shellmound_0-14-5
4,0,14,5,-4376.4175,shellmound_0-14-5
6,0,14,5,-4369.0566,shellmound_0-14-5
8,0,14,5,-8938.843,shellmound_0-14-5
10,0,14,5,-3494.899,shellmound_0-14-5
12,0,14,5,-3590.6572,shellmound_0-14-5
14,0,14,5,-3979.8987,shellmound_0-14-5
16,0,14,5,-3523.8247,shellmound_0-14-5
18,0,14,5,-3797.2761,shellmound_0-14-5
2,0,14,7,-4607.397,shellmound_0-14-7
4,0,14,7,-6004.9536,shellmound_0-14-7
6,0,14,7,-1668.1046,shellmound_0-14-7
8,0,14,7,-7301.417,shellmound_0-14-7
10,0,14,7,-6371.8516,shellmound_0-14-7
12,0,14,7,-7192.4883,shellmound_0-14-7
14,0,14,7,-4194.8477,shellmound_0-14-7
16,0,14,7,-3132.2998,shellmound_0-14-7
18,0,14,7,-3137.2092,shellmound_0-14-7
2,0,15,4,-5474.526,shellmound_0-15-4
4,0,15,4,-9647.871,shellmound_0-15-4
6,0,15,4,-5022.4795,shellmound_0-15-4
8,0,15,4,-5829.327,shellmound_0-15-4
10,0,15,4,-11423.998,shellmound_0-15-4
12,0,15,4,-5735.202,shellmound_0-15-4
14,0,15,4,-3075.1665,shellmound_0-15-4
16,0,15,4,-4408.3843,shellmound_0-15-4
18,0,15,4,-4256.669,shellmound_0-15-4
2,0,15,5,-6316.844,shellmound_0-15-5
4,0,15,5,-6986.2363,shellmound_0-15-5
6,0,15,5,-2647.844,shellmound_0-15-5
8,0,15,5,-8558.303,shellmound_0-15-5
10,0,15,5,-7651.674,shellmound_0-15-5
12,0,15,5,-5535.2075,shellmound_0-15-5
14,0,15,5,-2967.044,shellmound_0-15-5
16,0,15,5,-3435.1587,shellmound_0-15-5
18,0,15,5,-3711.3396,shellmound_0-15-5
2,0,15,7,-4402.743,shellmound_0-15-7
4,0,15,7,-11366.477,shellmound_0-15-7
6,0,15,7,-2232.3398,shellmound_0-15-7
8,0,15,7,-8066.341,shellmound_0-15-7
10,0,15,7,-5728.6567,shellmound_0-15-7
12,0,15,7,-9423.013,shellmound_0-15-7
14,0,15,7,-6866.155,shellmound_0-15-7
16,0,15,7,-2962.644,shellmound_0-15-7
18,0,15,7,-3978.0574,shellmound_0-15-7
2,0,17,4,-10661.835,shellmound_0-17-4
4,0,17,4,-5639.0615,shellmound_0-17-4
6,0,17,4,-6254.194,shellmound_0-17-4
8,0,17,4,-8656.999,shellmound_0-17-4
10,0,17,4,-6070.196,shellmound_0-17-4
12,0,17,4,-8134.5156,shellmound_0-17-4
14,0,17,4,-3630.62,shellmound_0-17-4
16,0,17,4,-5223.693,shellmound_0-17-4
18,0,17,4,-1921.8661,shellmound_0-17-4
2,0,17,5,-3117.1965,shellmound_0-17-5
4,0,17,5,-6156.409,shellmound_0-17-5
6,0,17,5,-2998.4614,shellmound_0-17-5
8,0,17,5,-4281.25,shellmound_0-17-5
10,0,17,5,-6019.401,shellmound_0-17-5
12,0,17,5,-5941.7725,shellmound_0-17-5
14,0,17,5,-3786.5364,shellmound_0-17-5
16,0,17,5,-2957.5293,shellmound_0-17-5
18,0,17,5,-4201.976,shellmound_0-17-5
2,0,17,7,-4559.3335,shellmound_0-17-7
4,0,17,7,-3624.71,shellmound_0-17-7
6,0,17,7,-1839.6028,shellmound_0-17-7
8,0,17,7,-7046.254,shellmound_0-17-7
