#k i j stage cond rbot boundname
4 8 31 36.4006 4590.2 35.4006 "tallahatchie river"
4 8 30 36.3743 80132.3 35.3743 "tallahatchie river"
4 9 30 36.3362 42989.6 35.3362 "tallahatchie river"
4 9 29 36.3163 31601.1 35.3163 "tallahatchie river"
4 10 29 36.2724 66631.1 35.2724 "tallahatchie river"
4 11 29 36.2344 22435 35.2344 "tallahatchie river"
4 11 30 36.218 55041.8 35.218 "tallahatchie river"
4 12 30 36.1687 39694.2 35.1687 "tallahatchie river"
4 12 31 36.1296 68682.1 35.1296 "tallahatchie river"
4 12 32 36.0892 102662 35.0892 "tallahatchie river"
4 13 32 36.0625 71984.9 35.0625 "tallahatchie river"
4 14 32 36.0396 77626.1 35.0396 "tallahatchie river"
4 15 32 36.0212 42800.1 35.0212 "tallahatchie river"
4 15 31 36.0037 71675.4 35.0037 "tallahatchie river"
4 16 31 35.991 11104.6 34.991 "tallahatchie river"
4 16 30 35.9791 66944.2 34.9791 "tallahatchie river"
4 17 30 35.9573 75324.2 34.9573 "tallahatchie river"
4 17 29 35.9414 28960.4 34.9414 "tallahatchie river"
4 18 29 35.9288 53501.7 34.9288 "tallahatchie river"
4 18 28 35.913 49742.8 34.913 "tallahatchie river"
4 19 28 35.8991 41257.8 34.8991 "tallahatchie river"
4 19 27 35.886 44065.4 34.886 "tallahatchie river"
4 20 27 35.8705 68917.7 34.8705 "tallahatchie river"
4 21 27 35.8705 69567.3 34.8705 "tallahatchie river"
4 22 28 35.8705 83245.1 34.8705 "tallahatchie river"
4 22 29 35.8705 71850.4 34.8705 "tallahatchie river"
4 22 30 35.8705 69912.7 34.8705 "tallahatchie river"
4 21 30 35.8705 82503.4 34.8705 "tallahatchie river"
4 20 30 35.7857 37985.6 34.7857 "tallahatchie river"
4 20 31 35.6114 40011.6 34.6114 "tallahatchie river"
4 19 31 35.2567 81841.3 34.2567 "tallahatchie river"
4 19 32 35.2505 69803.9 34.2505 "tallahatchie river"
4 19 33 35.2397 76889.1 34.2397 "tallahatchie river"
4 19 34 35.2306 46924.7 34.2306 "tallahatchie river"
4 20 34 35.2218 72679.6 34.2218 "tallahatchie river"
4 21 34 35.2137 81842.2 34.2137 "tallahatchie river"
4 21 33 35.0928 81219.4 34.0928 "tallahatchie river"
4 22 33 34.9767 85715 33.9767 "tallahatchie river"
4 23 33 34.892 56278.2 33.892 "tallahatchie river"
4 23 32 34.8665 63359.7 33.8665 "tallahatchie river"
4 24 32 34.8497 8684.39 33.8497 "tallahatchie river"
4 24 31 34.8244 99781.7 33.8244 "tallahatchie river"
4 25 31 34.8003 3573.11 33.8003 "tallahatchie river"
4 25 30 34.7839 66641.1 33.7839 "tallahatchie river"
4 26 30 34.752 70166.7 33.752 "tallahatchie river"
4 27 30 34.7051 4652.16 33.7051 "tallahatchie river"
4 27 31 33.8635 79548.3 32.8635 "yazoo river"
