#k i j q boundname
1 28 15 -0 perimeter-fluxes
1 9 5 -117.582 perimeter-fluxes
1 10 4 -2.55324 perimeter-fluxes
1 11 4 15.1564 perimeter-fluxes
1 12 4 -67.5853 perimeter-fluxes
1 13 4 15.7219 perimeter-fluxes
1 14 4 -58.1762 perimeter-fluxes
1 15 4 29.4837 perimeter-fluxes
1 16 4 40.0838 perimeter-fluxes
1 17 5 -162.737 perimeter-fluxes
1 18 5 -95.7718 perimeter-fluxes
1 19 5 -137.13 perimeter-fluxes
1 20 5 -125.818 perimeter-fluxes
1 21 5 -35.7536 perimeter-fluxes
1 22 5 -67.3819 perimeter-fluxes
1 23 5 -21.5667 perimeter-fluxes
1 24 5 -50.1896 perimeter-fluxes
1 25 5 -128.666 perimeter-fluxes
1 26 5 -163.426 perimeter-fluxes
1 27 10 -326.328 perimeter-fluxes
1 28 11 0 perimeter-fluxes
1 16 4 -116.635 perimeter-fluxes
1 26 5 -148.957 perimeter-fluxes
1 26 6 -147.725 perimeter-fluxes
1 26 7 -115.174 perimeter-fluxes
1 26 8 -133.895 perimeter-fluxes
1 26 9 -173.988 perimeter-fluxes
1 27 10 -0 perimeter-fluxes
1 28 11 -0 perimeter-fluxes
1 28 12 -0 perimeter-fluxes
1 28 13 -0 perimeter-fluxes
1 28 14 -0 perimeter-fluxes
1 28 15 -0 perimeter-fluxes
1 9 5 420.276 perimeter-fluxes
1 9 6 311.208 perimeter-fluxes
1 10 4 217.567 perimeter-fluxes
2 9 6 -0 perimeter-fluxes
2 28 15 -0 perimeter-fluxes
2 9 5 -142.218 perimeter-fluxes
2 10 4 -3.25212 perimeter-fluxes
2 11 4 15.8776 perimeter-fluxes
2 12 4 -58.3971 perimeter-fluxes
2 13 4 22.7393 perimeter-fluxes
2 14 4 -54.2483 perimeter-fluxes
2 15 4 47.552 perimeter-fluxes
2 16 4 45.838 perimeter-fluxes
2 17 5 -143.272 perimeter-fluxes
2 18 5 -78.6254 perimeter-fluxes
2 19 5 -121.179 perimeter-fluxes
2 20 5 -107.659 perimeter-fluxes
2 21 5 -34.0187 perimeter-fluxes
2 22 5 -68.8985 perimeter-fluxes
2 23 5 -24.8663 perimeter-fluxes
2 24 5 -54.9094 perimeter-fluxes
2 25 5 -111.128 perimeter-fluxes
2 26 5 -148.177 perimeter-fluxes
2 27 10 -319.17 perimeter-fluxes
2 28 11 0 perimeter-fluxes
2 16 4 -117.916 perimeter-fluxes
2 26 5 -135.897 perimeter-fluxes
2 26 6 -130.834 perimeter-fluxes
2 26 7 -117.631 perimeter-fluxes
2 26 8 -140.906 perimeter-fluxes
2 26 9 -167.661 perimeter-fluxes
2 27 10 -0 perimeter-fluxes
2 28 11 -0 perimeter-fluxes
2 28 12 -0 perimeter-fluxes
2 28 13 -0 perimeter-fluxes
2 28 14 -0 perimeter-fluxes
2 28 15 -0 perimeter-fluxes
2 9 5 305.677 perimeter-fluxes
2 9 6 275.524 perimeter-fluxes
2 10 4 201.674 perimeter-fluxes
3 9 6 -0 perimeter-fluxes
3 28 15 -0 perimeter-fluxes
3 9 5 -142.406 perimeter-fluxes
3 10 4 -3.99241 perimeter-fluxes
3 11 4 15.1427 perimeter-fluxes
3 12 4 -58.4077 perimeter-fluxes
3 13 4 21.7246 perimeter-fluxes
3 14 4 -54.1962 perimeter-fluxes
3 15 4 46.4517 perimeter-fluxes
3 16 4 44.7122 perimeter-fluxes
3 17 5 -143.391 perimeter-fluxes
3 18 5 -79.214 perimeter-fluxes
3 19 5 -121.271 perimeter-fluxes
3 20 5 -107.74 perimeter-fluxes
3 21 5 -34.6578 perimeter-fluxes
3 22 5 -68.8537 perimeter-fluxes
