start_datetime,end_datetime,time,per,perlen,nstp,tsmult,steady,oc,parent_sp
1998-04-01,1998-04-01,1,0,1,1,1.0,True,"{'head': 'last', 'budget': 'last'}",0
1998-04-01,2007-04-01,3288,1,3287,10,1.5,False,"{'head': 'last', 'budget': 'last'}",1
2007-04-01,2007-10-01,3471,2,183,5,1.5,False,"{'head': 'last', 'budget': 'last'}",2
2007-10-01,2008-04-01,3654,3,183,5,1.5,False,"{'head': 'last', 'budget': 'last'}",3
2008-04-01,2008-10-01,3837,4,183,5,1.5,False,"{'head': 'last', 'budget': 'last'}",4
2008-10-01,2009-04-01,4019,5,182,5,1.5,False,"{'head': 'last', 'budget': 'last'}",5
2009-04-01,2009-10-01,4202,6,183,5,1.5,False,"{'head': 'last', 'budget': 'last'}",6
2009-10-01,2010-04-01,4384,7,182,5,1.5,False,"{'head': 'last', 'budget': 'last'}",7
2010-04-01,2010-10-01,4567,8,183,5,1.5,False,"{'head': 'last', 'budget': 'last'}",8
2010-10-01,2011-04-01,4749,9,182,5,1.5,False,"{'head': 'last', 'budget': 'last'}",9
2011-04-01,2011-10-01,4932,10,183,5,1.5,False,"{'head': 'last', 'budget': 'last'}",10
2011-10-01,2012-04-01,5115,11,183,5,1.5,False,"{'head': 'last', 'budget': 'last'}",11
2012-04-01,2012-10-01,5298,12,183,5,1.5,False,"{'head': 'last', 'budget': 'last'}",12
2012-10-01,2013-04-01,5480,13,182,5,1.5,False,"{'head': 'last', 'budget': 'last'}",13
2013-04-01,2013-10-01,5663,14,183,5,1.5,False,"{'head': 'last', 'budget': 'last'}",14
2013-10-01,2014-04-01,5845,15,182,5,1.5,False,"{'head': 'last', 'budget': 'last'}",15
2014-04-01,2014-10-01,6028,16,183,5,1.5,False,"{'head': 'last', 'budget': 'last'}",16
2014-10-01,2015-04-01,6210,17,182,5,1.5,False,"{'head': 'last', 'budget': 'last'}",17
2015-04-01,2015-10-01,6393,18,183,5,1.5,False,"{'head': 'last', 'budget': 'last'}",18
